"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MJUZQRQ2","journalArticle","2019","Wetzstein, Brian; Florax, Raymond; Foster, Kenneth; Binkley, James","Rejuvenating Mississippi River's Post‐Harvest Shipping","Applied Economic Perspectives and Policy","","2040-5790, 2040-5804","10.1093/aepp/ppy029","https://onlinelibrary.wiley.com/doi/10.1093/aepp/ppy029","The Mississippi River plays a vital role in the global competitiveness of U.S. agricultural commodities. The key to the river’s effectiveness is how efﬁciency it can carry bulk loads. However, limited research has investigated how barge-load size affects efﬁciency. It is hypothesized that increasing the load-size will enhance barge transportation efﬁciency. As a test, a vector autoregressive model was developed, with results supporting the hypothesis. Barge-rate volatility and magnitude may be reduced by regulating draft depth, which is the main constraint for barge load size.","2019-12","2026-01-01 09:35:41","2026-01-01 09:35:41","2026-01-01 09:35:41","723-741","","4","41","","Applied Eco Perspectives Pol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\wsd3\Zotero\storage\NGQAMN6B\Wetzstein-RejuvenatingMississippiRivers-2019_2051045d.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZ4PNHW7","journalArticle","2005","Thoma, Mark; Wilson, Wesley","A Study of Short-Run Movements in Grain on the Inland Waterway System","","","","","","","2005","2026-01-10 22:09:30","2026-01-10 22:09:30","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\DIDNS8F4\p16021coll2_3787.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZST6T4L","journalArticle","","Henrickson, Kevin; Wilson, Wesley","A Model of Spatial Market Areas and Transportation Demand","","","","","","In this paper, we derive a model of transportation demand and the interrelated supply decisions of agricultural shippers over a geographic space. These shippers use prices to both procure grain and to make output, mode, and market decisions. These decisions are each affected by the characteristics of the region and the level of spatial competition between the shipper and its rivals. We integrate each of these factors into our model of derived demand and spatial competition. The model is applied to data representing barge elevators on the Upper Mississippi and Illinois Rivers to estimate transportation demands and gathering areas. The results provide demand elasticity estimates for annual volumes between -1.3 to –1.9, estimates which are sizably larger than previous estimates of similar traffic. The results also indicate that inbound transportation rates to the barge shipper has a significant influence on annual volumes as does the distance to the nearest competitor. A second model, explaining the size of the market area of elevators is also estimated. We find that the rates of alternative modes that compete for barge traffic have a strong influence on market areas as does the distance to the nearest competitor. The results provide for a strong argument that transportation demands are elastic and that spatial market areas vary substantially with transportation rates.","","2026-01-10 22:09:32","2026-01-11 06:23:41","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\HT8L7K5Y\p16021coll2_3762 (2).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UXEKU5FP","journalArticle","","Sweeney, Donald C","A Discrete Event Simulation Model of a Congested Segment of the Upper Mississippi River Inland Navigation System","","","","","","","","2026-01-10 22:09:34","2026-01-10 22:09:34","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\X2YNK29Q\p16021coll2_3770.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CW6L6JEW","journalArticle","","Hofseth, Keith; Singley, John","A survey of the freight transportation demand literature and a comparison of elasticity estimates","","","","","","","","2026-01-10 22:09:38","2026-01-11 06:23:56","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\FW4JVVCD\p16021coll2_3747.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCSDKQEL","journalArticle","","","Business depth-damage analysis procedures","","","","","","","","2026-01-10 22:09:39","2026-01-10 22:09:39","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\Z7DBWQVM\p16021coll2_3052.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TSZUIU8G","journalArticle","","","Infrastructure reports: Summaries","","","","","","","","2026-01-10 22:09:42","2026-01-10 22:09:42","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\5D8K6SI3\p16021coll2_14443.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXT2ASHH","journalArticle","1988","Stakhiv, Eugene Z.","An evaluation paradigm for cumulative impact analysis","Environmental Management","","0364-152X, 1432-1009","10.1007/BF01867549","http://link.springer.com/10.1007/BF01867549","","1988-09","2026-01-10 22:09:45","2026-01-10 22:09:45","2026-01-10 22:09:45","725-748","","5","12","","Environmental Management","","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","C:\Users\wsd3\Zotero\storage\GKNM7FNC\p16021coll2_14438.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PM9USZY","journalArticle","","Lisney, Mark","Analysis of Towboat Operating Areas: Addendum Presenting Findings from Waterborne Commerce Statistics Center Data","","","","","","","","2026-01-10 22:09:46","2026-01-10 22:09:46","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\27HXMVI3\p16021coll2_3776.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J6WY9Y4R","report","1996","Langton, Stuart","An Organizational Assessment of the U.S. Army Corps of Engineers in Regard to Public Involvement Practices and Challenges.:","","","","","http://www.dtic.mil/docs/citations/ADA323533","","1996-09-01","2026-01-10 22:09:49","2026-01-10 22:09:49","2026-01-10 22:09:49","","","","","","","An Organizational Assessment of the U.S. Army Corps of Engineers in Regard to Public Involvement Practices and Challenges.","","","","","Defense Technical Information Center","Fort Belvoir, VA","en","","","","","DOI.org (Crossref)","","DOI: 10.21236/ADA323533","","C:\Users\wsd3\Zotero\storage\2R4JH5RQ\p16021coll2_3879.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5L9Q98G","report","1994","Gordon, Cameron","Infrastructure in the 21st Century Economy. Volume 1. The Dimensions of Public Works Effects on Growth and Industry.:","","","","","http://www.dtic.mil/docs/citations/ADA295912","","1994-02-01","2026-01-10 22:09:52","2026-01-10 22:09:52","2026-01-10 22:09:52","","","","","","","Infrastructure in the 21st Century Economy. Volume 1. The Dimensions of Public Works Effects on Growth and Industry.","","","","","Defense Technical Information Center","Fort Belvoir, VA","en","","","","","DOI.org (Crossref)","","DOI: 10.21236/ADA295912","","C:\Users\wsd3\Zotero\storage\JG22PHBJ\p16021coll2_1316.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDHJAIVB","journalArticle","","Alperin, Lynn M","History of the Gulf Intracoastal waterway","","","","","","","","2026-01-10 22:09:54","2026-01-10 22:09:54","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\UZUR4NS9\p16021coll2_15229.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V7WH3A5E","journalArticle","","","History of transportation on the upper Mississippi & Illinois Rivers","","","","","","","","2026-01-10 22:09:54","2026-01-10 22:09:54","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\SPRN9K2R\p16021coll2_15234.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RLQGPUWN","journalArticle","","Robinson, Michael C","History of navigation in the Ohio River Basin","","","","","","","","2026-01-10 22:09:56","2026-01-10 22:09:56","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\KQAA82I2\p16021coll2_15230.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGIACGP7","journalArticle","","","History of the waterways of the Atlantic Coast of the United States","","","","","","","","2026-01-10 22:09:57","2026-01-10 22:09:57","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\KW7KX8M9\p16021coll2_15231.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S97FGYWY","journalArticle","","","History of navigation on the lower Mississippi","","","","","","","","2026-01-10 22:10:01","2026-01-10 22:10:01","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\JGJFHS4Q\p16021coll2_15228.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LPGKV9HL","journalArticle","","","History of navigation & navigation improvements on the Pacific coast","","","","","","","","2026-01-10 22:10:02","2026-01-10 22:10:02","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\KGQ86Z7Z\p16021coll2_15226.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YF59REN","journalArticle","","","Final report: Summary condition indicator estimate for primary locks in fuel taxed system","Final Report","","","","","","","2026-01-10 22:10:04","2026-01-10 22:10:04","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\Z2Z7V6EB\p16021coll2_14616.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TBEXDZH8","journalArticle","","Bayley, Suzanne; Zucchetto, James; Shapiro, Larry; Mau, Debbie; Nessel, John","U.S. Army Engineer Institute for Water Resources Kingman Building Fort Belvoir, Virginia 22060","","","","","","","","2026-01-10 22:10:08","2026-01-10 22:10:08","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\6V92L7IV\p16021coll2_1342.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92WUZELB","journalArticle","","","Corps of Engineers Operations & Maintenance Budget Decision Support System: Division prototype (COMB_DSS-D)","","","","","","","","2026-01-10 22:10:11","2026-01-10 22:10:11","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\HKGQX6MJ\p16021coll2_14605.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HEIB6ST","journalArticle","","","Evolution of the vessels engaged in the waterborne commerce of the United States","","","","","","","","2026-01-10 22:10:12","2026-01-10 22:10:12","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\5DXHMD5V\p16021coll2_15225.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N4DYXMNC","journalArticle","","Group, The Louis Berger","Determining System Capacity to Accommodate Grain Flows By Rail to the Mississippi River at St. Louis","","","","","","This report documents findings obtained from interviews of major grain terminal operators operating in the St. Louis area, conducted from 11 November to 28 November, 2005. It is an element of a U.S. Army Corps of Engineers’ (Corps) Institute for Water Resources (IWR) study to determine rail and rail-barge transfer facility system capacity to accommodate grain flows by rail to the Mississippi River at St. Louis.","","2026-01-10 22:10:14","2026-01-11 06:23:37","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\55CINWVS\p16021coll2_3764 (1).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WUDNR4MQ","journalArticle","","Dai, Melody Dzwo-Min","Delay estimation on congested waterways","","","","","","","","2026-01-10 22:10:15","2026-01-10 22:10:15","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\ZDQABZKH\p16021coll2_6787.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4V49RNK","journalArticle","","","Data base inventory support studies","","","","","","","","2026-01-10 22:10:18","2026-01-10 22:10:18","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\96ACSD2H\p16021coll2_609.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L27EYGW9","journalArticle","","","National Waterways Study: Waterways system and commodity movement maps","","","","","","","","2026-01-10 22:10:20","2026-01-10 22:10:20","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\8S4CXC55\p16021coll2_16226.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BGNT96N","journalArticle","","","Cost-benefit analysis for inland navigation improvements","","","","","","","","2026-01-10 22:10:22","2026-01-10 22:10:22","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\7AJ6VUY3\p16021coll2_3060.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T5EESMB9","journalArticle","","","Contributions of Civil Works projects (other than navigation) to defense facilities","","","","","","","","2026-01-10 22:10:23","2026-01-10 22:10:23","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\B9VCH2KQ\p16021coll2_16210.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MLGNXK5H","journalArticle","","","Navigation System Simulation (NaSS) Design Document","","","","","","","","2026-01-10 22:10:25","2026-01-10 22:10:25","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\PV7GYGTM\p16021coll2_3778.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUMQ9SIG","journalArticle","","","National Waterways Study: A framework for decision making, final report","","","","","","","","2026-01-10 22:10:27","2026-01-10 22:10:27","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\C9SYV9W7\p16021coll2_16223.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
