Bill of Lading Number,Arrival Date,Matching Fields,Consignee,Consignee D-U-N-S®,Consignee Global HQ D-U-N-S®,Consignee Domestic HQ D-U-N-S®,Shipper,Shipper D-U-N-S®,Shipper Global HQ D-U-N-S®,Shipper Domestic HQ D-U-N-S®,Carrier,Notify Party,Port of Unlading,Port of Lading,Vessel,Vessel Voyage ID,Vessel IMO,Quantity,Measurement,Weight (kg),Weight (t),Weight (Original Format),Value of Goods (USD),Manifest Number,Industry - GICS,Industry - GICS Description,HS Code,Goods Shipped,_source_file,_source_dir,Group,Category,Cargo,Cargo Detail,Shipper Unified,Consignee Unified,Notify Unified,Report 1,Report 2,Report 3,Report 4,Report 5,Report 6,Filter,Count,H_Shipper_Unified,H_Shipper_Ultimate_Parent,H_Shipper_SIC_Codes,H_Shipper_Match_Method,H_Shipper_Match_Confidence,H_Shipper_Dict_Key,H_Consignee_Unified,H_Consignee_Ultimate_Parent,H_Consignee_Primary_Region,H_Consignee_Match_Method,H_Consignee_Match_Confidence,H_Consignee_Dict_Key,H_Carrier_Unified,H_Carrier_Type,H_Carrier_Match_Method,H_Carrier_Match_Confidence,H_HS2,H_HS4,H_HS6,H_HS_Parsed,H_HS_Match_Method,H_HS_Match_Confidence,H_Cargo_Group,H_Cargo_Category,H_Cargo_Type,H_Cargo_Detail,H_Cargo_Match_Method_wsd,H_Cargo_Match_Confidence,H_Port_Unlading_Unified,H_Port_Unlading_Region,H_Agency_Market,H_Port_Lading_Unified,H_Port_Lading_Country,H_Country_Code,H_Country_ISO,H_Subregion,H_World_Region,H_Trade_Region,H_Trade_Lane,H_Is_Bulk,H_Weight_Tier,H_Shipper_Dict_Version,H_Shipper_Match_Timestamp,H_Consignee_Dict_Version,H_Consignee_Match_Timestamp,Year,H_Cargo_Match_Method,H_Port_Lading_Region
OFCWALCTAM3172,2024-08-26,,Cemex Construction Materials,,,,Cemex Espana Operaciones,,,,OFCW - Oldendorff Carriers,"1) CEMEX INC
HOUSTON, TX 77043 USA, 2) CEM - SUTTON TAMPA TERMINAL, TAMPA, FL 33619 USA","Tampa, Florida","Alcanar, Spain",ALERCE,03172,9942043.0,1 BLK, ,12000000.0,12000.0,12000 ET,,1.0,15105020,Paper Products,Classified: 4707.90,A QUANTITY OF PORTAND CEMENT,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,"CEMEX, B.","Cemex, S.A.B. De C.V.",5032,parent_keyword,0.85,UPSPCIQ_404061,"CEMEX, B.","Cemex, S.A.B. De C.V.",Southeast Region,exact,1.0,UPSPCIQ_404061,,,,,47.0,4707.0,470790.0,470790.0,direct,1.0,Forestry,,Wood Pulp,Recovered (waste and scrap) paper and paperboard:,,0.9,"Tampa, Florida",Gulf,,"Alcanar, Spain",,,,,,,SP-GULF,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
SMTHSHTABAY2801,2024-08-25,,Superior Asphalt,,,,Dexter Construction Group,,,,SMTH - Smt Shipping (Cyprus) Ltd,"A.J.ARANGO, INC
1516 EAST 8TH AVE, TAMPA FL33605 US","Tampa, Florida","Sheet Harbour, Ns, Canada",BAY PEARL,28,,1 BLK, ,40732008.0,40732.01,40732006 KG,,258931.0,20106020,Industrial Machinery,Classified: 8479.82,AGGREGATES IN BULK,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,DEXTER CONSTRUCTION GROUP,,,exact,1.0,NAME_DEXTERCONSTRUCTIONGROUP,"SUPERIOR ASPHALT ENTERPRISES,","Superior Asphalt Enterprises, Inc.",Southeast Region,exact,1.0,UPSPCIQ_342144838,,,,,84.0,8479.0,847982.0,847982.0,direct,1.0,General Cargo,,Machinery,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter; parts thereof:",,0.9,"Tampa, Florida",Gulf,,"Sheet Harbour, Ns, Canada",,,,,,,CA-GULF,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
CSSLFRTR240122,2024-08-25,,,,,,,,,,CSSL - The Csl Group Inc,,"Port of Richmond, Richmond, California","Santa Rosalia, Mexico",CSL FRONTIER,24012,,1 BLK, CF,21500000.0,21500.0,21500000 KG,,1.0,20102010,Building Products,Classified: 6809.19,GYPSUM ROCK,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,68.0,6809.0,680919.0,680919.0,direct,1.0,Construction Materials,,Gypsum,Articles of plaster or of compositions based on plaster:,,0.9,"Port of Richmond, Richmond, California",West Coast,,"Santa Rosalia, Mexico",,,,,,,MX-WEST,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
LBUL149592401001,2024-08-25,,,,,,,,,,LBUL - Lauritzen Bulkers A/S,,"Port of Virginia, Norfolk, Virginia","Caronte, France",ISA,2401,9180358.0,1 LBK, ,17903684.0,17903.68,17903684 KG,,1000.0,15102010,Construction Materials,Classified: 2523.30,FONDU GRADE CLINKER AND SECAR 51 GRADE CLINKE CLINKER,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,25.0,2523.0,252330.0,252330.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"Port of Virginia, Norfolk, Virginia",East Coast,,"Caronte, France",,,,,,,FR-EAST,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
LDCSXTGIMI240503,2024-08-25,,,,,,,,,,LDCS - Louis Dreyfus Company Freight Asia Pte Ltd,,"Port Panama City, Panama City, Florida","Hon Gai, Vietnam",WISTERIA,15,9919565.0,649 PCS, ,1298000.0,1298.0,1298 ET,,1000.0,30301010,Household Products,Classified: 3926.90,CEMENT TYPE I/II LOW ALKALI IN 2MT BIG BAGS,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,39.0,3926.0,392690.0,392690.0,direct,1.0,Agricultural Products,,Rubber,Other articles of plastics and articles of other materials of headings 3901 to 3914:,,0.9,"Port Panama City, Panama City, Florida",,,"Hon Gai, Vietnam",,,,,,,VI-US,False,Medium,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
LDCSXTGIMI240502,2024-08-25,,,,,,,,,,LDCS - Louis Dreyfus Company Freight Asia Pte Ltd,,"Port Panama City, Panama City, Florida","Hon Gai, Vietnam",WISTERIA,15,9919565.0,11823 PCS, ,15000000.0,15000.0,15000 ET,,1000.0,30301010,Household Products,Classified: 3926.90,CEMENT TYPE I/II LOW ALKALI IN 2MT BIG BAGS,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,39.0,3926.0,392690.0,392690.0,direct,1.0,Agricultural Products,,Rubber,Other articles of plastics and articles of other materials of headings 3901 to 3914:,,0.9,"Port Panama City, Panama City, Florida",,,"Hon Gai, Vietnam",,,,,,,VI-US,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
PBIHACBU103,2024-08-24,,Glacier Northwest Inc.,,,,Vissai Ninh Binh Joint Stock,,,,PBIH - Pacific Basin Handysize Ltd,"GLACIER NORTHWEST, INC.
5975 EAST MARGINAL WAY, SOUTH, SEATTLE, WA 98134 U.S.A., TEL: 1-626-852-6203","Port of Seattle, Seattle, Washington","All Other Viet Nam Ports, Vietnam",ACHILLES BULKER,6,,1 BLK, ,30800000.0,30800.0,30800000 KG,,1.0,15102010,Construction Materials,Classified: 2523.90,BLENDED HYDRAULIC CEMENT IN BULK TO CONFORM WITH ASTM-C595 TYPE IL LOW ALKALI,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,VISSAI NINH BINH JOINT STOCK,Vissai Ninh Binh Joint Stock Company,,exact,1.0,UPSPCIQ_1854210818,TAIHEIYO CEMENT,Taiheiyo Cement Corporation,Pacific Region,exact,1.0,UPSPCIQ_874419,,,,,25.0,2523.0,252390.0,252390.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"Port of Seattle, Seattle, Washington",West Coast,,"All Other Viet Nam Ports, Vietnam",,,,,,,VI-WEST,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
DMNABLKBQA060601,2024-08-24,,Sesco Cement Corp.,,,,Saudi Cement Co.,,,,DMNA - Dampskibsselskabet Norden Aktieselskab,"INTEGRITY CUSTOMS BROKERAGE
2900 NORTH LOOP WEST FWY, SUITE 800, HOUSTON TX77092 US","Houston, Houston, Texas","Ad Dammam, Saudi Arabia",BULK BEQUIA,11,,1 BLK, ,46100000.0,46100.0,46100 ET,,230364.0,15102010,Construction Materials,Classified: 2523.21,"PORTLAND CEMENT IN BULK (46, 100 METRIC TONS)",Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,SAUDI CEMENT,Saudi Cement Company,,exact,1.0,UPSPCIQ_6084420,SESCO CEMENT,Sesco Cement Corp.,Southwest Region,exact,1.0,UPSPCIQ_555199289,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"Houston, Houston, Texas",Gulf,,"Ad Dammam, Saudi Arabia",,,,,,,SA-GULF,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
NYKB040000825,2024-08-23,,Hm Southeast Cement Llc,,,,"Nippon Steel Trading Co., Ltd.",,,,NYKB - Nyk Bulk & Projects Carriers Ltd,"HM SOUTHEAST CEMENT LLC
575 CARGO ROAD CAPE CANAVERAK FL, 32920","Port Canaveral, Port Canaveral, Florida","Kashima, Japan",MEDI ATLANTICO,06,,1 DBK, ,49500000.0,49500.0,49500000 KG,,1000.0,15104050,Steel,Classified: 2619.00,GRANULATED BLAST FURNACE SLAG IN BULK,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,NIPPON STEEL,Nippon Steel Corporation,"5051, 5082, 5099, 5149, 5199",exact,1.0,UPSPCIQ_874183,,,,unmatched,0.0,,,,,,26.0,2619.0,261900.0,261900.0,direct,1.0,Ferrous Raw Materials,,Slags TBN,"Slag, dross",,0.9,"Port Canaveral, Port Canaveral, Florida",,,"Kashima, Japan",,,,,,,JP-US,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
CINT3949MORHER01,2024-08-23,,Argos Usa,,,,Nuh Cimento Sanayi A.S.,,,,CINT - Cargill International S A,"ARGOS USA LLC
C3015 WINDWARD PLAZA DR, ALPHARETTA, GA. 30005","Houston, Houston, Texas","All Other Turkey Black Sea and Sea of Marmara Port, Turkey",OCEANLOVE,30,,1 BLK, ,48120000.0,48120.0,48120 ET,,1.0,,,Classified: 9999.99,"48, 120. 00 MT GREY CEMENT",Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,NUH ÇIMENTO SANAYI A.S,Nuh çimento Sanayi A.S.,,exact,1.0,UPSPCIQ_9673374,ARGOS USA,,South Central Region,exact,1.0,NAME_ARGOSUSA,,,,,99.0,9999.0,999999.0,999999.0,direct,1.0,General Cargo,,General Cargo,Services provided by extraterritorial organizations and bodies,,0.9,"Houston, Houston, Texas",Gulf,,"All Other Turkey Black Sea and Sea of Marmara Port, Turkey",,,,,,,TU-GULF,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
PBIHCINR0401,2024-08-22,,,,,,,,,,PBIH - Pacific Basin Handysize Ltd,,"Port of Seattle, Seattle, Washington","Santa Rosalia, Mexico",CHAMCHURI NAREE,4,,1 BLK, ,13300000.0,13300.0,13300000 KG,,1.0,25201050,Housewares & Specialties,Classified: 6815.99,"13, 300. 000 MT OF NATURAL GYPSUM IN BULK",Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,68.0,6815.0,681599.0,681599.0,direct,1.0,Construction Materials,,Stone,"Articles of stone or of other mineral substances (including carbon fibers, articles of carbon fibers and articles of peat), not elsewhere specified or included:",,0.9,"Port of Seattle, Seattle, Washington",West Coast,,"Santa Rosalia, Mexico",,,,,,,MX-WEST,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
PBIHCINR0402,2024-08-22,,,,,,,,,,PBIH - Pacific Basin Handysize Ltd,,"Port of Seattle, Seattle, Washington","Santa Rosalia, Mexico",CHAMCHURI NAREE,4,,1 BLK, ,7000000.0,7000.0,7000000 KG,,1.0,25201050,Housewares & Specialties,Classified: 6815.99,"7, 000. 000 MT OF NATURAL GYPSUM IN BULK",Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,68.0,6815.0,681599.0,681599.0,direct,1.0,Construction Materials,,Stone,"Articles of stone or of other mineral substances (including carbon fibers, articles of carbon fibers and articles of peat), not elsewhere specified or included:",,0.9,"Port of Seattle, Seattle, Washington",West Coast,,"Santa Rosalia, Mexico",,,,,,,MX-WEST,False,Medium,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
PBIHCINR0403,2024-08-22,,,,,,,,,,PBIH - Pacific Basin Handysize Ltd,,"Port of Seattle, Seattle, Washington","Santa Rosalia, Mexico",CHAMCHURI NAREE,4,,1 BLK, ,4000000.0,4000.0,4000000 KG,,1.0,25201050,Housewares & Specialties,Classified: 6815.99,"4, 000. 000 MT OF NATURAL GYPSUM IN BULK",Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,68.0,6815.0,681599.0,681599.0,direct,1.0,Construction Materials,,Stone,"Articles of stone or of other mineral substances (including carbon fibers, articles of carbon fibers and articles of peat), not elsewhere specified or included:",,0.9,"Port of Seattle, Seattle, Washington",West Coast,,"Santa Rosalia, Mexico",,,,,,,MX-WEST,False,Medium,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
PBIHCINR0404,2024-08-22,,,,,,,,,,PBIH - Pacific Basin Handysize Ltd,,"Port of Seattle, Seattle, Washington","Santa Rosalia, Mexico",CHAMCHURI NAREE,4,,1 BLK, ,7500000.0,7500.0,7500000 KG,,1.0,25201050,Housewares & Specialties,Classified: 6815.99,"7, 500. 000 MT OF NATURAL GYPSUM IN BULK",Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,68.0,6815.0,681599.0,681599.0,direct,1.0,Construction Materials,,Stone,"Articles of stone or of other mineral substances (including carbon fibers, articles of carbon fibers and articles of peat), not elsewhere specified or included:",,0.9,"Port of Seattle, Seattle, Washington",West Coast,,"Santa Rosalia, Mexico",,,,,,,MX-WEST,False,Medium,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
CSSLFRTR240121,2024-08-22,,,,,,,,,,CSSL - The Csl Group Inc,,"Port of Long Beach, Long Beach, California","Santa Rosalia, Mexico",CSL FRONTIER,24012,,1 BLK, CF,21500000.0,21500.0,21500000 KG,,1.0,20102010,Building Products,Classified: 6809.19,GYPSUM ROCK,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,68.0,6809.0,680919.0,680919.0,direct,1.0,Construction Materials,,Gypsum,Articles of plaster or of compositions based on plaster:,,0.9,"Port of Long Beach, Long Beach, California",West Coast,,"Santa Rosalia, Mexico",,,,,,,MX-WEST,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
OMIW025938,2024-08-22,,Ash Grove Cement Co.,,,,Lafarge Texada Quarrying,,,,OMIW - Olson Marine Inc,"GEORGE S. BUSH &AMP; CO., INC.
5331 S MACADAM AVE, STE 370, PORTLAND, OR, US, 97239, TE503-228-6501","Port of Portland, Portland, Oregon","Beale Cove, Bc, Canada",YELLOW CEDAR,25938,,1 BLK, ,8400000.0,8400.0,8400000 KG,,1.0,15102010,Construction Materials,Classified: 6802.91,BULK LIMESTONE,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,LAFARGE TEXADA QUARRYING,,,exact,1.0,NAME_LAFARGETEXADAQUARRYING,,,,unmatched,0.0,,,,,,68.0,6802.0,680291.0,680291.0,direct,1.0,Construction Materials,,Stone,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially colored granules, chippings and powder, of natural stone (including slate):",,0.9,"Port of Portland, Portland, Oregon",West Coast,,"Beale Cove, Bc, Canada",,,,,,,CA-WEST,False,Medium,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
SYMQ160820241,2024-08-21,,Mcinnis Usa Inc.,,,,St. Mary's Cement Corp.,,,,SYMQ - St Marys Cement Inc (Canada),"MCINNIS USA INC.
50 OAK AVENUE, BRONXNY 10474, US","New York/Newark Area, Newark, New Jersey","Montreal, Que, Canada",NACC NEWYORKER,2414,9499723.0,1 BLK, CM,20902500.0,20902.5,20902500 K,,7912.0,15102010,Construction Materials,Classified: 2523.21,"20, 902. 50 M/TS ORDINARY PORTLAND CEMENT (LA-L",Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,HEJOASSU ADMINISTRAÇÃO,Hejoassu Administração S.A.,3241,exact,1.0,UPSPCIQ_22453799,MCINNIS USA,Mcinnis Usa Inc.,New York Region,exact,1.0,UPSPCIQ_1820584918,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"New York/Newark Area, Newark, New Jersey",East Coast,,"Montreal, Que, Canada",,,,,,,CA-EAST,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
SYMQ160820242,2024-08-21,,Mcinnis Usa Inc.,,,,St. Mary's Cement Corp.,,,,SYMQ - St Marys Cement Inc (Canada),"MCINNIS USA INC.
50 OAK AVENUE, BRONXNY 10474, US","New York/Newark Area, Newark, New Jersey","Montreal, Que, Canada",NACC NEWYORKER,2414,9499723.0,1 BLK, CM,6502800.0,6502.8,6502800 K,,7912.0,15102010,Construction Materials,Classified: 2523.21,"6, 502. 80 M/TS ORDINARY PORTLAND CEMENT (TYPE III)",Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,HEJOASSU ADMINISTRAÇÃO,Hejoassu Administração S.A.,3241,exact,1.0,UPSPCIQ_22453799,MCINNIS USA,Mcinnis Usa Inc.,New York Region,exact,1.0,UPSPCIQ_1820584918,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"New York/Newark Area, Newark, New Jersey",East Coast,,"Montreal, Que, Canada",,,,,,,CA-EAST,False,Medium,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
CSSLBAHA24037,2024-08-21,,Martin Marietta Aggregates,,,,Bahama Rock Ltd.,,,,CSSL - The Csl Group Inc,,"Jacksonville, Florida","Freeport, Grand Bahama I, Bahamas",BAHAMA SPIRIT,24037,,1 BLK, CF,43000000.0,43000.0,43000000 KG,,1.0,15102010,Construction Materials,Classified: 6802.91,LIMESTONE,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,BAHAMA ROCK,,,exact,1.0,NAME_BAHAMAROCK,MARTIN MARIETTA AGGREGATES,,Southeast Region,exact,1.0,NAME_MARTINMARIETTAAGGREGATES,,,,,68.0,6802.0,680291.0,680291.0,direct,1.0,Construction Materials,,Stone,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially colored granules, chippings and powder, of natural stone (including slate):",,0.9,"Jacksonville, Florida",East Coast,,"Freeport, Grand Bahama I, Bahamas",,,,,,,BA-EAST,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,Gulf
OFCWMLNJAC257601,2024-08-21,,Hollingshead Cement Llc,,,,Lafrage Emirates Cement Llc,,,,OFCW - Oldendorff Carriers,"TERMINAL SHIPPING COMPANY, INC
300 BULL STREET, SUITE 201, SAVANNAH, GA 31401, GARY NALL  912-964-5200","Jacksonville, Florida","All Other United Arab Emirates Ports, United Arab Emirates",COBRA,25760,,1 BLK, ,13000000.0,13000.0,13000 ET,,1.0,15102010,Construction Materials,Classified: 6810.99,A QUANTITY OF CEMENT,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,LAFRAGE EMIRATES CEMENT,,,exact,1.0,NAME_LAFRAGEEMIRATESCEMENT,HOLLINGSHEAD CEMENT,Hollingshead Cement Llc,Southeast Region,exact,1.0,UPSPCIQ_1939954244,,,,,68.0,6810.0,681099.0,681099.0,direct,1.0,Construction Materials,,Cement,"Articles of cement, of concrete or of artificial stone, whether or not reinforced:",,0.9,"Jacksonville, Florida",East Coast,,"All Other United Arab Emirates Ports, United Arab Emirates",,,,,,,UN-EAST,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
WETB025939,2024-08-20,,Hm Northwest Cement Co.,,,,,,,,WETB - Western Towboat Company,,"Port of Seattle, Seattle, Washington","Vancouver, BC, Canada",PACIFIC SOUNDER,25939,,1 BLK, ,6350000.0,6350.0,6350000 KG,,1.0,15102010,Construction Materials,Classified: 6810.99,BULK CEMENT,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,HM NORTHWEST CEMENT,,Pacific Region,exact,1.0,NAME_HMNORTHWESTCEMENT,,,,,68.0,6810.0,681099.0,681099.0,direct,1.0,Construction Materials,,Cement,"Articles of cement, of concrete or of artificial stone, whether or not reinforced:",,0.9,"Port of Seattle, Seattle, Washington",West Coast,,"Vancouver, BC, Canada",,,,,,,CA-WEST,False,Medium,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
DMNAUNIBULKE0201,2024-08-20,,Cemex Construction Materials,,,,Vissai Ninh Binh Jsc,,,,DMNA - Dampskibsselskabet Norden Aktieselskab,"CEMEX INC
10100 KATY FREEWAY, SUITE 300, HOUSTON TX77043 US","Port of Long Beach, Long Beach, California","All Other Viet Nam Ports, Vietnam",UNI BULKER,02,,1 BLK, ,8000000.0,8000.0,8000 ET,,256196.0,15102010,Construction Materials,Classified: 2523.21,"ORDINARY PORTLAND CEMENT IN BULK TYPE II/V CONFORMING TO ASTM (8, 000 METRIC TONS)",Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,VISSAI NINH BINH JSC,,,exact,1.0,NAME_VISSAININHBINHJSC,"CEMEX, B.","Cemex, S.A.B. De C.V.",Southeast Region,exact,1.0,UPSPCIQ_404061,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"Port of Long Beach, Long Beach, California",West Coast,,"All Other Viet Nam Ports, Vietnam",,,,,,,VI-WEST,False,Medium,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
NYKBFT01,2024-08-20,,Argos Usa,,,,Jfe Shoji Trade Corp.,,,,NYKB - Nyk Bulk & Projects Carriers Ltd,"ARGOS USA
TAMPA CEMENT PLANT 2001 MARITIME, BLVD TAMPA FLORIDA 33605","Tampa, Florida","Fukuyama, Japan",OCEAN ROYAL,01,,1 DBK, ,41250000.0,41250.0,41250000 KG,,1000.0,15104050,Steel,Classified: 2619.00,GRANULATED BLAST FURNACE SLAG IN BULK,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,"JFE HOLDINGS,","Jfe Holdings, Inc.","1522, 5051, 5052, 5084",parent_keyword,0.85,UPSPCIQ_6478993,ARGOS USA,,South Central Region,exact,1.0,NAME_ARGOSUSA,,,,,26.0,2619.0,261900.0,261900.0,direct,1.0,Ferrous Raw Materials,,Slags TBN,"Slag, dross",,0.9,"Tampa, Florida",Gulf,,"Fukuyama, Japan",,,,,,,JP-GULF,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
NYKB040000823,2024-08-20,,The Essex Cement Co. Llc,,,,Titan Cement Company S.A.,,,,NYKB - Nyk Bulk & Projects Carriers Ltd,"TO THE ORDER OF ESSEX CEMENT CO LLC
BUILDING 182 CALCUTTA STR PORT, NEWARK NJ 07114 USA","New York/Newark Area, Newark, New Jersey","Elefsis, Greece",ATLANTIC ELM,50,9558244.0,1 DBK, ,42912000.0,42912.0,42912000 KG,,1000.0,15102010,Construction Materials,Classified: 2523.21,PORTLAND CEMENT TYPE IL,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,TITAN,Titan S.A.,"3241, 3255",exact,1.0,UPSPCIQ_874331,THE ESSEX CEMENT,,New York Region,exact,1.0,NAME_THEESSEXCEMENT,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"New York/Newark Area, Newark, New Jersey",East Coast,,"Elefsis, Greece",,,,,,,GR-EAST,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
CSSLTACO24022,2024-08-19,,,,,,,,,,CSSL - The Csl Group Inc,,"Baltimore, Maryland","Halifax, Ns, Canada",CSL TACOMA,24022,,1 BLK, CF,42000000.0,42000.0,42000000 KG,,1.0,20102010,Building Products,Classified: 6809.19,GYPSUM ROCK,Panjiva-US_Imports-all-results_1_to_3906_of_3906-2025-10-21-15-39_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,68.0,6809.0,680919.0,680919.0,direct,1.0,Construction Materials,,Gypsum,Articles of plaster or of compositions based on plaster:,,0.9,"Baltimore, Maryland",East Coast,,"Halifax, Ns, Canada",,,,,,,CA-EAST,False,Large,20251206,20251206_214446,20251206,20251206_214446,2024,hs_based,
