Bill of Lading Number,Shipment Date,Matching Fields,Shipper,Shipper Address,Shipper City,Shipper State/Region,Shipper Postal Code,Shipper Country,Shipper Full Address,Shipper Email 1,Shipper Email 2,Shipper Email 3,Shipper Phone 1,Shipper Phone 2,Shipper Phone 3,Shipper Fax,Shipper Website 1,Shipper Website 2,Shipper Profile,Shipper SPCIQ ID,Shipper MI Key,Shipper D-U-N-S®,Shipper Industry,Shipper Revenue,Shipper Employees,Shipper Market Capitalization,Shipper Incorporation Year,Shipper Trade Roles,Shipper SIC Codes,Shipper Stock Tickers,Shipper (Original Format),Shipper Global HQ,Shipper Global HQ Address,Shipper Global HQ D-U-N-S®,Shipper Domestic HQ,Shipper Domestic HQ Address,Shipper Domestic HQ D-U-N-S®,Shipper Ultimate Parent,Shipper Ultimate Parent Website,Shipper Ultimate Parent Headquarters Address,Shipper Ultimate Parent Profile,Shipper Ultimate Parent SPCIQ ID,Shipper Ultimate Parent MI Key,Shipper Ultimate Parent Stock Tickers,Carrier,Shipment Destination,Port of Lading,Port of Lading Region,Port of Lading Country,Port of Unlading,Port of Unlading Region,Port of Unlading Country,Place of Receipt,Vessel,Vessel Country,Vessel SCAC,Transport Flight Code,Is Containerized,Volume (TEU),Item Quantity,Weight (kg),Weight (t),Weight (Original Format),Value of Goods (USD),Equipment Type,Equipment Dimensions,Industry - GICS,Industry - GICS Description,Container Number,HS Code,Goods Shipped,Container Quantities,Divided/LCL
1,2023-03-30,,Intl Materials Inc.,327 Plaza Real,Boca Raton,Florida,33432,United States,"327 Plaza Real #320, Boca Raton, FL 33432, USA",,,,+1 561 705 0350,,,,,,https://panjiva.com/Intl-Materials-Inc/31825099,,,187846217.0,,51070647.0,140.0,,1987.0,,6221,,International Materials,,,,,,,,,,,,,,LCIR - Lafarge Canada Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Vancouver, BC, Canada",North America,Canada,SEATTLE,MLT8000-4,,LCIR - Lafarge Canada Inc,24519,,,1,7800000.0,7800.0,7800.0,6396000.0,,,15102010,Construction Materials,,2520.10,GYPSUM,,
PEVFPT024946,2023-03-29,,Ritchie Bros Auctioneers,4000 Pine Lake Rd,Lincoln,Nebraska,68516-5484,,"4000 Pine Lake Rd, Lincoln Nebraska 68516-5484, United States",,,,,,,,,,https://panjiva.com/Ritchie-Bros-Auctioneers/132994667,331970614.0,7260989.0,,Commercial Services and Supplies,,,,1958.0,Manufacturer,,,Ritchie Bros Auctioneers,,,,,,,"Rb Global, Inc.",rbglobal.com,"Two Westbrook Corporate Center, Suite 500, Westchester Illinois 60154, United States",https://panjiva.com/RB-Global-Inc/55371166,381848.0,4324933.0,NYSE:RBA,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Freeport, Grand Bahama I, Bahamas",Caribbean,Bahamas,PT EVERGLADES,BAHAMAS EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,1482S,,,1,45990.0,45.99,45.99,10100.0,,,15102010,Construction Materials,,2523,1 UN LINK BELTRTC8070 CRANE 2001RED SN D7J15450 RITCHIE BROS BILL OF SALE ATTACHED ITN X20230323721430 SHIPPED AT CONSIGNEE RISK,,
1,2023-03-29,,Lafarge Canada,1510 East Courtney Atherton Road,Independence,Missouri,64058,United States,"1510 E Courtney Atherton Rd, Independence, MO 64058, USA",,,,,,,,,,https://panjiva.com/Lafarge-Canada/133155556,,,,,,,,,,,,Lafarge Canada,,,,,,,,,,,,,,LCIR - Lafarge Canada Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Vancouver, BC, Canada",North America,Canada,SEATTLE,TCT 8000,CANADA,LCIR - Lafarge Canada Inc,24516,,,1,7200000.0,7200.0,7200.0,11376000.0,,,15104025,Copper,,2603,COPPER SLAG,,
86359,2023-03-27,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,863,,,11,20260.0,20.26,20.26,3200.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
1,2023-03-27,,Lafarge Canada,1510 East Courtney Atherton Road,Independence,Missouri,64058,United States,"1510 E Courtney Atherton Rd, Independence, MO 64058, USA",,,,,,,,,,https://panjiva.com/Lafarge-Canada/133155556,,,,,,,,,,,,Lafarge Canada,,,,,,,,,,,,,,LCIR - Lafarge Canada Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Vancouver, BC, Canada",North America,Canada,SEATTLE,MLT 8000-5,CANADA,LCIR - Lafarge Canada Inc,24510,,,1,4800000.0,4800.0,4800.0,7584000.0,,,15104025,Copper,,2603,COPPER SLAG,,
1,2023-03-27,,Lafarge Canada,1510 East Courtney Atherton Road,Independence,Missouri,64058,United States,"1510 E Courtney Atherton Rd, Independence, MO 64058, USA",,,,,,,,,,https://panjiva.com/Lafarge-Canada/133155556,,,,,,,,,,,,Lafarge Canada,,,,,,,,,,,,,,LCIR - Lafarge Canada Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Vancouver, BC, Canada",North America,Canada,SEATTLE,M8003,PEOPLES,LCIR - Lafarge Canada Inc,24507,,,1,7800000.0,7800.0,7800.0,12324000.0,,,15104025,Copper,,2603,COPPER SLAG,,
PEVABH015798,2023-03-26,,Cement It,2455 E Sunrise Blvd Suite 1103,Fort Lauderdale,Florida,33304,,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",,,,,,,,,,https://panjiva.com/Cement-It/133122199,528766674.0,13021994.0,,Trading Companies and Distributors,,,,1999.0,,,,Cement It,,,,,,,"Cement It, Inc.",www.cement-it.com,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",https://panjiva.com/Cement-IT-Inc/65270314,528766674.0,13021994.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,GRAND EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,294S,,,1,87490.0,87.49,87.49,17500.0,,,15102010,Construction Materials,,2523,13 PL CEMENT BAGS 520 BAGS 12 PL CEMENT BAGS 520 BAGS 12 PL CEMENT BAGS 600 BAGS 12 PL CEMENT BAGS 600 BAGS CEMENT IT AES ITN X20230316311009,,
PEVABH015811,2023-03-26,,Cement It,2455 E Sunrise Blvd Suite 1103,Fort Lauderdale,Florida,33304,,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",,,,,,,,,,https://panjiva.com/Cement-It/133122199,528766674.0,13021994.0,,Trading Companies and Distributors,,,,1999.0,,,,Cement It,,,,,,,"Cement It, Inc.",www.cement-it.com,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",https://panjiva.com/Cement-IT-Inc/65270314,528766674.0,13021994.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,GRAND EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,294S,,,1,88680.0,88.68,88.68,17700.0,,,15102010,Construction Materials,,2523,13 PL CEMENT BAGS 520 BAGS 13 PL CEMENT BAGS 520 BAGS 13 PL CEMENT BAGS 520 BAGS 13 PL CEMENT BAGS 520 BAGS CEMENT IT AES ITN X20230320473948,,
MCB221860001,2023-03-24,,Geodis,485C Route 1 South Suite 410,Iselin,New Jersey,08830,,"485C Route 1 South, Suite 410, Iselin New Jersey 08830, United States",,,,,,,,,,https://panjiva.com/Geodis/133041227,226084810.0,8628883.0,,Air Freight and Logistics,,180.0,,,Manufacturer,,,Geodis,,,,,,,"Société Nationale Sncf, Société Anonyme",www.sncf.com,"SNCF Campus Étoiles, 2, Place aux Etoiles, Saint-Denis Ile-de-France 93200, France",https://panjiva.com/Soci-t-nationale-SNCF-soci-t-anonyme/59076044,894727.0,4412299.0,,IDMC - Industrial Maritime Carriers Llc,Colombia,"Houston, Houston, Texas",Southwest Region,United States,"Cartagena, Colombia",South America,Colombia,HOUSTON,INDUSTRIAL MERCHANT,Netherlands,IDMC - Industrial Maritime Carriers Llc,02944,,,1,740.0,0.74,0.74,740.0,,,15102010,Construction Materials,,2520.20,3 PIECES STC PRODUCTOS PARTES Y PIEZAS PARA USO EN LA INDUSTRIA PETROLERA COMMERCIAL INVOICE NUMBER IO534 PO 981873P003 TOTAL REVENUE TONS 0.756 1 BND 1120 LB 0.294 M3 1 BOX 12 LB 0.008 M3 1 TUB 517 LB 0.186 M3 FREIGHT PREPAID ON BOARD 03 25 2023 ITN EXPORT X20230317359669,,
MCB221781001,2023-03-24,,Noatum Logistics,16945 Northchase Drive Suite 1500,Houston,Texas,77060,,"16945 Northchase Drive, Suite 1500, Houston Texas 77060, United States",,,,,,,,,,https://panjiva.com/Noatum-Logistics/72284770,1899665964.0,124323593.0,,,,0.0,,,"Manufacturer, Logistics",,,Noatum Logistics,,,,,,,"Noatum Logistics Usa, Llc",,"16945 Northchase Drive, Suite 1500, Houston Texas 77060, United States",https://panjiva.com/Noatum-Logistics-USA-LLC/203950042,1899665964.0,124323593.0,,IDMC - Industrial Maritime Carriers Llc,Peru,"Houston, Houston, Texas",Southwest Region,United States,"Matarani, Peru",South America,Peru,HOUSTON,INDUSTRIAL MERCHANT,Netherlands,IDMC - Industrial Maritime Carriers Llc,02944,,,1,46520.0,46.52,46.52,85100.0,,,15104020,Diversified Metals & Mining,,2620,1 PIECE STC SLAG POT FREIGHT PREPAID ON BOARD 03 25 2023 ITN X20230316269653,,
PEVGSC000314,2023-03-24,,Source Logistics,2001 Timberloch Place Ste 300,The Woodlands,Texas,77380,,"2001 Timberloch Place, Ste 300, The Woodlands Texas 77380, United States",,,,,,,,,,https://panjiva.com/Source-Logistics/133139723,42747114.0,7086531.0,,Air Freight and Logistics,,,,1999.0,Logistics,,,Source Logistics,,,,,,,Source Logistics Corp.,sourcelogistics.com,"2001 Timberloch Place, Ste 300, The Woodlands Texas 77380, United States",https://panjiva.com/Source-Logistics-Corp/57350603,42747114.0,7086531.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Great Stirrup Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,CARIBBEAN EXPRESS I,Antigua & Barbuda,SILJ - Seacor Island Lines,1870S,,,1,20320.0,20.32,20.32,4100.0,,,15102010,Construction Materials,,2523,16 PL BAGS OF CONCRETE SOURCE CONSULTING INV AES ITN X20230303570959 SHIPPED AT CONSIGNEE RISK,,
86248,2023-03-20,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,862,,,11,20260.0,20.26,20.26,3200.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
86245,2023-03-20,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,862,,,30,41130.0,41.13,41.13,6600.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
OOLU2713530650,2023-03-19,,Fedex Trade Networks Transport,3875 Airways Module H3 Department 4634,Memphis,Tennessee,38116,,"3875 Airways, Module H3, Department 4634, Memphis Tennessee 38116, United States",,,,,,,,,,https://panjiva.com/Fedex-Trade-Networks-Transport/88480082,701196.0,6332179.0,,Air Freight and Logistics,,600000.0,,2000.0,"Manufacturer, Trading Company, Logistics",,,Fedex Trade Networks Transport & Br,,,,,,,Fed Ex Corporation,www.fedex.com,"942 South Shady Grove Road, Memphis Tennessee 38120, United States",https://panjiva.com/FedEx-Corporation/55664475,124423.0,4379438.0,"NYSE:FDX, BOVESPA:FDXB34",OOLU - Orient Overseas Container Line Ltd,,"Port of Long Beach, Long Beach, California",Pacific Region,United States,"Shanghai, China",Eastern Asia,China,,Cosco Denmark,,OOLU - Orient Overseas Container Line Ltd,049W,,,11 PL,19948.0,19.948,19948 KG,47900.0,,"L: unknown
H: unknown
W: unknown",15102010,Construction Materials,,Classified: 6810.99,CEMENT,,
PEVABH015648,2023-03-16,,Seacor Island Lines,1300 Eller Drive,Fort Lauderdale,Florida,33316-4216,,"1300 Eller Drive, Fort Lauderdale Florida 33316-4216, United States",,,,,,,,,,https://panjiva.com/Seacor-Island-Lines/133102386,30690158.0,7468917.0,,Marine,,150.0,,1990.0,"Manufacturer, Wholesale",,,Seacor Island Lines,,,,,,,King Ocean Services Ltd.,www.kingocean.com,"13155 NW 19th Lane, Sweetwater Florida 33182, United States",https://panjiva.com/King-Ocean-Services-Ltd/65362029,585973458.0,11260458.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,SEA EXPRESS II,Antigua & Barbuda,SILJ - Seacor Island Lines,1075S,,,1,65310.0,65.31,65.31,11100.0,,,15102010,Construction Materials,,2523,15 PL TILE MORTAR 960 BAGS SGM INVOICE ATTACHED AES ITN X20230302444535 12 PL CEMENT BAGS 600 BAGS CEMENTIT INC. 12 PL CONCRETE BAGS 600 BAGS CEMENTIT INC. INV ATT AES ITN X20230306637598,,
