name,facility_type,lat,lng,region,waterway,city,state,source,dock_type,commodities
"Interstate Chemical Co., Vanport East Dock.",CHEMICAL,40.677222,-80.340278,Inland_Ports,Ohio River,Vanport,PA,BTS_DOCK,Dock,Other Chemicals and Related Products
"Interstate Chemical Co., Vanport West Dock.",CHEMICAL,40.674722,-80.344444,Inland_Ports,Ohio River,Vanport,PA,BTS_DOCK,Dock,Other Chemicals and Related Products
"WLC Enterprise and Lange Towing Co., Morgan City Wharf and Slip.",PIPELINE_TERMINAL,29.708889,-91.218611,Inland_Ports,Berwick Bay (Lower Atchafalaya River),Morgan City,LA,BTS_DOCK,Dock,"All Manufactured Equipment, Machinery and Products"
"L & L Oil and Gas Services, Berwick Wharf",GENERAL_CARGO,29.703353,-91.222229,Inland_Ports,Berwick Bay (Lower Atchafalaya River),Berwick,LA,BTS_DOCK,Dock,nan
"Poinsett Rice & Grain, South Dock.",GRAIN_ELEVATOR,35.686803,-89.954639,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Osceola,AR,BTS_DOCK,Dock,Food and Farm Products
"Cherokee Marine Terminal, Steel Dock and Fleet Mooring.",STEEL_MILL,36.178056,-86.780278,Inland_Ports,"Cumberland River, Mouth to Nashville, TN",Nashville,TN,BTS_DOCK,Dock,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | All Manufactured Equipment, Machinery and Products | Unknown or Not Elsewhere Classified"
"Cargill North American Oilseed Processing Co., Guntersville Shipping Dock.",GRAIN_ELEVATOR,34.348333,-86.288889,Inland_Ports,"Tennessee River, TN, AL and KY",Guntersville,AL,BTS_DOCK,Dock,Other Agricultural Products; Food and Kindred Products
"Cargill AgHorizons, Havana South Terminal Grain Dock.",GRAIN_ELEVATOR,40.296944,-90.066944,Inland_Ports,"Illinois River, IL",Havana,IL,BTS_DOCK,Dock,Food and Farm Products
"Cargill AgHorizons, Havana North Terminal Grain Dock.",GRAIN_ELEVATOR,40.298056,-90.066944,Inland_Ports,"Illinois River, IL",Havana,IL,BTS_DOCK,Dock,Food and Farm Products
"Consolidated Grain and Barge Co., Naples Fertilizer Dock.",GRAIN_ELEVATOR,39.742222,-90.618611,Inland_Ports,"Illinois River, IL",Naples,IL,BTS_DOCK,Dock,Fertilizers | Food and Farm Products | Unknown or Not Elsewhere Classified
"Riverway Louisville Terminal Co., Upper Truck Dock.",GENERAL_CARGO,38.263889,-85.732778,Inland_Ports,Ohio River,Louisville,KY,BTS_DOCK,Dock,Iron Ore and Iron & Steel Waste & Scrap | Unknown or Not Elsewhere Classified
"River Road Terminal, Lower Wharf.",GENERAL_CARGO,38.276944,-85.709167,Inland_Ports,Ohio River,Louisville,KY,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Fertilizers | Sulphur (Dry), Clay & Salt | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)"
"River Road Terminal, Upper Wharf.",GENERAL_CARGO,38.278056,-85.7075,Inland_Ports,Ohio River,Louisville,KY,BTS_DOCK,Dock,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Food and Farm Products"
"Ashland Petroleum Co., Cincinnati Terminal Dock.",REFINERY,39.074092,-84.608926,Inland_Ports,Ohio River,Cincinnati,OH,BTS_DOCK,Dock,Petroleum and Petroleum Products | Chemicals and Related Products | Other Chemicals and Related Products
US Steel Corp - Mon Valley Works - Clairton Works (coke Dock1 Lower/ship),STEEL_MILL,40.315032,-79.893345,Inland_Ports,"Monongahela River, PA and WV",Clairton,PA,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke"
"Owensboro Grain Co., Owensboro Lower Dock.",GRAIN_ELEVATOR,37.776111,-87.1075,Inland_Ports,Ohio River,Owensboro,KY,BTS_DOCK,Dock,Food and Farm Products
"Owensboro Grain Co., Owensboro Upper Dock.",GRAIN_ELEVATOR,37.776389,-87.101111,Inland_Ports,Ohio River,Owensboro,KY,BTS_DOCK,Dock,Food and Farm Products | Other Agricultural Products; Food and Kindred Products
Hatfield Terminal Loading Dock.,GENERAL_CARGO,39.094685,-84.529442,Inland_Ports,Ohio River,Cincinnati,OH,BTS_DOCK,Dock,Food and Farm Products | Unknown or Not Elsewhere Classified
"Riceland Foods, New Madrid County Port Authority Grain Terminal Dock.",GRAIN_ELEVATOR,36.531116,-89.569567,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Marston,MO,BTS_DOCK,Dock,Food and Farm Products
"Federal Marine Terminals, South Wharf.",GENERAL_CARGO,41.721944,-87.542222,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | All Manufactured Equipment, Machinery and Products | Unknown or Not Elsewhere Classified"
"Federal Marine Terminals, North Wharves.",GENERAL_CARGO,41.724167,-87.541667,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | All Manufactured Equipment, Machinery and Products | Unknown or Not Elsewhere Classified"
"Mid South Terminals, Chattanooga Dock A.",GENERAL_CARGO,35.077778,-85.336111,Inland_Ports,"Tennessee River, TN, AL and KY",Chattanooga,TN,BTS_DOCK,Dock,"Fertilizers | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)"
"Mid South Terminals, Chattanooga Dock B.",GENERAL_CARGO,35.076111,-85.336667,Inland_Ports,"Tennessee River, TN, AL and KY",Chattanooga,TN,BTS_DOCK,Dock,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | Food and Farm Products | Unknown or Not Elsewhere Classified"
"Ashland Petroleum Co., Louisville Refinery, Upper Dock.",REFINERY,38.238611,-85.835556,Inland_Ports,Ohio River,Louisville,KY,BTS_DOCK,Dock,Petroleum and Petroleum Products
"Consolidated Grain & Barge Upper Wharf, Aurora Terminal",GRAIN_ELEVATOR,39.059444,-84.896389,Inland_Ports,Ohio River,Aurora,IN,BTS_DOCK,Dock,Food and Farm Products
"CTLC Lower Wharf, Aurora Terminal",GENERAL_CARGO,39.058056,-84.896667,Inland_Ports,Ohio River,Aurora,IN,BTS_DOCK,Dock,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Food and Farm Products | Wheat | Corn | Other Agricultural Products; Food and Kindred Products"
"Hilltop Basic Resources, Patriot Aggregate Plant Loading Dock.",AGGREGATE,38.886389,-84.794722,Inland_Ports,Ohio River,Patriot,IN,BTS_DOCK,Dock,Building Cement & Concrete; Lime; Glass
"Cargill North America Oilseed Processing Co., Guntersville Marine-Leg Dock.",GRAIN_ELEVATOR,34.347778,-86.289167,Inland_Ports,"Tennessee River, TN, AL and KY",Guntersville,AL,BTS_DOCK,Dock,"Corn | Oilseeds (Soybean, Flaxseed and Others)"
"Itapco-Paducah Terminal, Riverway Lower Wharf.",GENERAL_CARGO,37.074167,-88.586944,Inland_Ports,"Tennessee River, TN, AL and KY",Paducah,KY,BTS_DOCK,Dock,Petroleum and Petroleum Products
"Ashland Petroleum Co., Cincinnati Terminal Texaco Dock.",REFINERY,39.074412,-84.617914,Inland_Ports,Ohio River,Cincinnati,OH,BTS_DOCK,Dock,Petroleum and Petroleum Products
"Kosmos Cement Co., Stone Dock.",CEMENT,38.035,-85.914444,Inland_Ports,Ohio River,Kosmosdale,KY,BTS_DOCK,Dock,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material"
"Kosmos Cement Co., Cement Dock.",CEMENT,38.038333,-85.913889,Inland_Ports,Ohio River,Kosmosdale,KY,BTS_DOCK,Dock,Building Cement & Concrete; Lime; Glass
"Louisville Gas and Electric Co., Mill Creek Station, Coal Unloading Dock.",STEEL_MILL,38.045821,-85.913281,Inland_Ports,Ohio River,Louisville,KY,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke"
"Louisville Gas and Electric Co., Mill Creek Station Mooring Dock.",STEEL_MILL,38.049648,-85.912786,Inland_Ports,Ohio River,Louisville,KY,BTS_DOCK,Dock,nan
"Ashland Petroleum Co., Louisville Refinery, Lower Dock.",REFINERY,38.228333,-85.840833,Inland_Ports,Ohio River,Louisville,KY,BTS_DOCK,Dock,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents"
"Celanese Chemicals, Colorado River Dock",CHEMICAL,28.856469,-96.028828,Inland_Ports,"Colorado River and Flood Discharge Channels, TX",Bay City,TX,BTS_DOCK,Dock,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Chemicals and Related Products | Other Chemicals and Related Products"
"Cargill, Chicago Mooring Wharf.",GRAIN_ELEVATOR,41.68,-87.555,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,nan
"Riverway Louisville Terminal Co., Lower Dock.",GENERAL_CARGO,38.263056,-85.735833,Inland_Ports,Ohio River,Louisville,KY,BTS_DOCK,Dock,"Fertilizers | Sulphur (Dry), Clay & Salt | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)"
"Riverway Louisville Terminal Co., Liquid Dock.",GENERAL_CARGO,38.263611,-85.734167,Inland_Ports,Ohio River,Louisville,KY,BTS_DOCK,Dock,Fertilizers
"Indiana-Kentucky Electric Corp, Clifty Creek Station Upper Coal Dock",COAL_TERMINAL,38.737377,-85.413016,Inland_Ports,Ohio River,Madison,IN,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke"
"Consolidated Grain and Barge Co., Mount Vernon Soybean Processing Dock",GRAIN_ELEVATOR,37.922626,-87.873565,Inland_Ports,Ohio River,Mount Vernon,IN,BTS_DOCK,Dock,"Oilseeds (Soybean, Flaxseed and Others)"
"Poinsett Rice & Grain, North Dock.",GRAIN_ELEVATOR,35.687778,-89.955,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Osceola,AR,BTS_DOCK,Dock,Food and Farm Products
"Cargill North American Oilseed Processing Co., Guntersville Tank-Farm Dock.",GRAIN_ELEVATOR,34.349167,-86.284167,Inland_Ports,"Tennessee River, TN, AL and KY",Guntersville,AL,BTS_DOCK,Dock,nan
"Amercian River Transportation Co., South Terminal Wharf.",GENERAL_CARGO,38.572222,-90.231389,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",St. Louis,MO,BTS_DOCK,Dock,Petroleum and Petroleum Products | Unknown or Not Elsewhere Classified
"Bussen Terminal, Upper Dock.",GENERAL_CARGO,38.481111,-90.280833,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",Lemay,MO,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Fertilizers | Sulphur (Dry), Clay & Salt | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)"
"Burlington River Terminal, North Dock.",GENERAL_CARGO,40.826578,-91.099495,Inland_Ports,"Mississippi River, Minneapolis, MN to Mouth of Missouri River",Burlington,IA,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Fertilizers | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | Unknown or Not Elsewhere Classified"
"Josh Steel Co., Braddock Yard Dock.",STEEL_MILL,40.401111,-79.873889,Inland_Ports,"Monongahela River, PA and WV",Braddock,PA,BTS_DOCK,Dock,Iron Ore and Iron & Steel Waste & Scrap
"Burlington River Terminal, South Dock.",GENERAL_CARGO,40.804111,-91.099106,Inland_Ports,"Mississippi River, Minneapolis, MN to Mouth of Missouri River",Burlington,IA,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Unknown or Not Elsewhere Classified"
"Josh Steel Co., Rankin Yard Dock.",STEEL_MILL,40.405833,-79.879444,Inland_Ports,"Monongahela River, PA and WV",Rankin,PA,BTS_DOCK,Dock,Iron Ore and Iron & Steel Waste & Scrap
"Lindy Paving, Neville Island Back Channel, Neville Terminal Services Dock.",GENERAL_CARGO,40.506062,-80.122995,Inland_Ports,Ohio River,Neville Island,PA,BTS_DOCK,Dock,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material"
"Bussen Terminal, Ramp Barge Dock.",GENERAL_CARGO,38.475278,-90.282222,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",Lemay,MO,BTS_DOCK,Dock,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Iron Ore and Iron & Steel Waste & Scrap | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Unknown or Not Elsewhere Classified"
Hatfield Terminal  Unloading Dock.,GENERAL_CARGO,39.09608,-84.53207,Inland_Ports,Ohio River,Cincinnati,OH,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Unknown or Not Elsewhere Classified"
Hatfield Terminal Grain Dock.,GRAIN_ELEVATOR,39.096944,-84.533611,Inland_Ports,Ohio River,Cincinnati,OH,BTS_DOCK,Dock,Food and Farm Products
"Main Iron Works, West Slip",STEEL_MILL,29.576944,-90.611111,Inland_Ports,"Gulf Intracoastal Waterway, Mississippi River, LA, to Sabine River, TX",Bourg,LA,BTS_DOCK,Dock,nan
