Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note
59,Liquid Bulk,Petroleum,Refined Products,Lubricating Oils,10,NONE,BASE\s*OIL|\bYUBASE\b|\bDEASAN\b|LUBRICAT(E|ING)\s*OIL|\bLUBE\b|BRIGHT\s*STOCK|SLACK\s*WAX|\bSN\s*\d+\b|SLACKWAX|\bbapbase\b|\bsaraline\b,,"Lubricating oils including base oils, YUBASE, DEASAN"
60,Liquid Gas,Petroleum,LPG,LPG,10,NONE,\bPROPANE\b|\bLPG\b|\bbutane\b|\bbutadine\b,,Liquified petroleum gas - Propane
61,Break Bulk,Steel,Finished Steel,Long Products,2,NONE,WIRE\s*RODS?|WIRE\s*ROD\s*COILS?|\bWRC\b|\bREBAR\b|\bDEFORMED\b|RE[II]NFORCED|STEEL\s*BARS?|STEEL\s*RODS?|H[\s-]*BEAMS?|WF[\s-]*BEAMS?|WIDE\s*FLANGE\s*BEAMS?|\bANGLES\b|\bCHANNELS\b|\bsections\b|\bsteel\s+structuresm\b|\bhot\s+forged\b|\bround\s+bar\b|\bsteel\s+round\b|\bbeam\s+ril\b|\brails\s+reinfircing\s+steel\s+profile\b|\bchannel\b,,Long steel products - beams/bars/rebar
62,Dry Bulk,Agricultural,Biomass,Logs,10,NONE,\bLOGS?\b|DOUGLAS\s*FIR,,Logs and timber - Douglas Fir
63,Liquid Gas,Petroleum,Natural Gas,LNG,10,NONE,\bLNG\b|LIQU[EI]FIED\s*NATURAL\s*GAS|NATURAL\s*GAS|\b;\b,,Liquified natural gas
64,Liquid Bulk,Fertilizer,Liquid Fertilizer,Liquid Fertilizer,10,NONE,\bUAN\b|\bCAN\b|\bCN9\b|CALCIUM\s*NITRATE\s*SOLUTION|UREA\s*AMMONIUM\s*NITRATE\s*SOLUTION,,Liquid fertilizers - UAN/CAN/CN9/calcium nitrate solutions
65,Break Bulk,Metals,Lead,Lead,2,NONE,LEAD\s*INGOTS?|LEAD\s*CONCENTRATE,,Lead products - ingots/concentrate
66,Dry Bulk,Minerals & Ores,Minerals,kaolin,10,NONE,\bKAOLIN\b,,
67,Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore,10,NONE,IRON\s*ORE|IRON\s*ORE\s*PELLETS?|\bTALCONITE\b|\bDRI\b|DIRECT\s*REDUCED\s*IRON|\bLKAB\b|IRON\s*CONCENTRATE|DIRECT\s*REDUCTION\s*PELLETS?|REDUCTION\s*PELLETS?|\bTUBARAO\b|DR\s*PELLETS?,,Iron ore and pellets
68,Liquid Bulk,Chemicals,Chemicals,Heptane,10,NONE,\bHEPTANE\b,,Heptane solvent
69,Dry Bulk,Construction Materials,Gypsum,Gypsum,10,NONE,\bGYPSUM\b,,Gypsum
70,Dry Bulk,Minerals & Ores,Garnet,Garnet,10,NONE,\bGARNET\b,,Garnet abrasive
71,Dry Bulk,Minerals & Ores,Fluorspar,Fluorspar,10,NONE,\bFLUORSPAR\b,,Fluorspar ore
72,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,STEEL\s*COILS?|STEEL\s*PLATES?|STEEL\s*SHEETS?|TIN\s*PLATES?|TINPLATES?|BLACK\s*PLATES?|BLACKPLATES?|AL\s*/\s*ZN|STEEL\s*PRODUCTS|HOT[\s-]*ROLLED|COLD[\s-]*ROLLED|ALLOY\s*STEEL\s*PLATES?|ALLOY\s*STEEL\s*COILS?|ALLOY\s*STEEL|\bhot\s+dip\b|\bcold\s+formed\b|\bgalvalume\b|\bSTEEL\s*COILS?|\bCOIL\b.*\bSTEEL\b|\bSTEEL\b.*\bCOIL\b|GALVANI[ZS]ED\s*COILS?|GALVANNEALED\b|\bSTEEL\s*PLATES?|\bPLATE\b.*\bSTEEL\b|\bSTEEL\b.*\bPLATE\b|ALLOY\s*STEEL\s*PLATES?\s+STEEL\s*SHEETS?|\bSHEET\b.*\bSTEEL\b\s+hot\s+forged\b|\bcold\s+formed\b|\bhot\s+formed\b,,Flat rolled steel - coils/plates/sheets
73,Break Bulk,Forestry,Pulp & Paper,Fiberboard,2,NONE,\bHARDBOARD\b|\bFI[BU]REBOARD\b|FI[BU]RE\s*BOARD,,"Hardboard, fiberboard products"
74,Dry Bulk,Minerals & Ores,Minerals,ferrous sulphate,10,NONE,\bFERROUS\s*SULPHATE\b|\bFERROUS\s*SULFATE\b,,
75,Dry Bulk,Ferrous Raw Materials,Ferro Alloys,ferromangan,10,NONE,\bFERROMANGAN\b,,
76,Dry Bulk,Ferrous Raw Materials,Ferro Alloys,ferro silicon,10,NONE,\bFERRO\s*SILICON\b|\bFERROSILICON\b,,
77,Dry Bulk,Ferrous Raw Materials,Ferro Alloys,Ferro Alloys,10,NONE,\bfescir\b|\bferro\s+chrome\b|\bferro\s+silicon\b|\bfesicr\b|\blcfecr\b|\bferrochrome\b|\bhcfecr\b,,
78,Dry Bulk,Minerals & Ores,Feldspar,Ferro Alloys,10,NONE,\bFELDSPAR\b,,Feldspar mineral
79,Break Bulk,Steel,Finished Steel,Fabricated Steel,2,NONE,\bsupport\s+pillars\b|\btacker\b|\bibus\b,,
80,Liquid Bulk,Chemicals,Chemicals,Fabricated Steel,10,NONE,ETHYLENE\s*GLYCOL|\bEG\s+BULK\b|\bEG\s+IN\s+BULK\b,,Ethylene glycol
81,Liquid Bulk,Chemicals,ETBE,Ethyl Tertiary Butyl Ether,10,NONE,\bETBE\b|ETHYL\s*TERTIARY\s*BUTYL\s*ETHER,,ETBE - fuel additive
82,Liquid Bulk,Chemicals,Chemicals,Ethanol,10,NONE,\bETHANOL\b|ETHYL\s*ALCOHOL,,Ethanol
83,Liquid Bulk,Chemicals,,etac,10,NONE,\betac\b,,
84,Liquid Bulk,Petroleum,Refined Products,Dirty Products,10,NONE,FUEL\s*OIL|\bVGO\b|VACC?UUM\s*GAS|\bLSFO\b|\bHSFO\b|\bVLSFO\b|VERY\s*LOW\s*SULF?UR\s*FUEL\s*OIL|\bULSHO\b|ULTRA\s*LOW\s*SULF?UR\s*HEATING\s*OIL|HEATING\s*OIL|\bASPHALT\b|\bBITUMEN\b|\bFLUX\b|\bcutter\s+stock\b|\bcutterstock\b|\bhsvgo\b|\bvaccum\b|\blsvgo\b|\bgas\s+oil\b|\bcat\s+gas\b|\bhvfo\s+gasoil\b|\bsrfo\b|\blsvgo\b|\bsrfo\s+vacuum\b,,Heavy fuel oils - VLSFO/LSFO/HSFO/VGO/heating oils/asphalt/bitumen
85,Liquid Bulk,Chemicals,Chemicals,Diethylene Glycol,10,NONE,\bDEG\b|DIETHYLENE\s*GLYCOL,,Diethylene glycol (DEG)
86,Liquid Bulk,Petroleum,Crude Oil,Crude Oil,10,NONE,CRUDE\s*OIL|\bSYNCRUDE\b|\bDCO\b|DILLUTED\s*CRUDE|DILUTED\s*CRUDE|\bMAYA\b|\bISTHMUS\b|ARAB\s*LIGHT|\bBASRAH\b|\bMEDANITO\b|\bORIENTE\b|\bCASTILLA\b|\bBOSCAN\b|\bHIBERNIA\b|\bVASCONIA\b|UNITY\s*GOLD|\bOKWUIBOME\b|CPC\s*BLEND|\bHAMACA\b|\bNAPO\b|\bTUPI\b|\bFORCADOS\b|\bHEBRON\b|\bDURI\b|\bSAHARAN\b|\bFORTIES\b|\bAMENAM\b|\bSIRTICA\b|\bMEREY\b|\bMURBAN\b|COLD\s*LAKE|\bIRACEMA\b|\bPEREGRINO\b|\bEKOFISK\b|\bLIZA\b|JOHAN\s*SVERDRUP|\bWTI\b|\bcondensate\b|\bzapoteco\b|\barabian\b|\biraq\b|\biraqi\b|\baltamira\b|\bboscan\b|\barab\b,,Crude oil + 32 specific grades + syncrude/DCO variants
87,Dry Bulk,Agricultural,Grain,Corn,10,NONE,\bCORN\b,,Corn
88,Break Bulk,Metals,Copper,Copper,2,NONE,\bCATHODES?\b|COPPER\s*SCRAP|COPPER\s*WIRES?|COPPER\s*BARS?|COPPER\s*PRODUCTS|COPPER\s*CONCENTRATE,,Copper products - cathodes/scrap/wire/bar/concentrate
89,Break Bulk,Agricultural,Coffee,Coffee,2,NONE,\bCOFFEE\b|\bfolgers\b,,Coffee
90,Break Bulk,Agricultural,Cocoa,Cocoa,2,NONE,\bCOCOA\b|COCOA\s*BEANS?,,Cocoa and cocoa beans
91,Dry Bulk,Carbon Products,Coal,Coal,10,NONE,\bCOAL\b|\bANTHRACITE\b|\bNUTCOKE\b|\bMETCOKE\b|\bnanticoke\b,,Coal and coke products
92,Liquid Bulk,Petroleum,Refined Products,Clean Products,10,NONE,\bGASOLINE\b|\bRBOB\b|\bCBOB\b|\bUNLEADED\b|\bJET\b|\bKEROSENE\b|\bDIESEL\b|\bULSD\b|ULTRA\s*LOW\s*SULF?UR\s*DIESEL|LOW\s*SULF?UR\s*DIESEL|\bNAPHTHA\b|VIRGIN\s*NAPHTHA|HEAVY\s*NAPHTHA|\bREFORMATE\b|\bHVN\b|\bALKYLATE\b|\bnaptha\b|\bmogas\b,,Light refined products - gasoline/diesel/jet/kerosene/naphtha/reformate/alkylate
93,Dry Bulk,Construction Materials,Cement,Cement,10,NONE,\bCEMENT\b|\bCLINKER\b|\bPORTLAND\b|LOW\s*ALKALI,,Cement and clinker
94,Liquid Bulk,Chemicals,Chemicals,Caustic Soda,10,NONE,CAUSTIC\s*SODA|\bCAUSTIC\b,,Caustic soda/caustic
95,Break Bulk,General Cargo,Project,Boats,2,NONE,\bYACHTS?\b|SAIL\s*BOATS?|SAILBOATS?|CRADLES?,,Boats - yachts/sailboats/cradles
96,Break Bulk,Forestry,Pulp & Paper,Board,2,NONE,\bBOARD\b|\bLINER\b|\bMETSA\b|KRAFTLINER,,Board and liner products
97,Liquid Bulk,Chemicals,Chemicals,Biodiesel,10,NONE,\bBIODIESEL\b|\bFAME\b|FATTY\s*ACID\s*METHYL,,Biodiesel/FAME
98,Break Bulk,Steel,Slabs & Billets,Billets,2,NONE,STEEL\s*BILLETS?|\bBILLET\b.*\bSTEEL\b,,Steel billets
99,Liquid Bulk,Chemicals,Chemicals,Benzene,10,NONE,\bBENZENE\b,,Benzene solvent
100,Dry Bulk,Non-Ferrous Raw Materials,Bauxite,Bauxite,10,NONE,\bBAUXITE\b,,Bauxite ore for aluminum
101,Dry Bulk,Agricultural,Grain,Barley,10,NONE,\bBARLEY\b,,Barley
102,Dry Bulk,Minerals & Ores,Barite,Barite,10,NONE,\bBARYTE\b|\bBARITE\b,,Barite/Baryte ore
103,Dry Bulk,Construction Materials,SCM,Ash,10,NONE,\bfly\s+ash\b|\bash\b,,
104,Liquid Bulk,Agricultural,Animal Fats,Ash,10,NONE,\bTALLOW\b|YELLOW\s*GREASE|USED\s*COOKING|COOKING\s*OIL|FISH\s*OIL,,Animal fats and used oils
105,Liquid Bulk,Chemicals,Chemicals,Anhydrous Ammonia,10,NONE,ANHYDROUS\s*AMMONIA|\bAMMONIA\b,AMMONIUM,Anhydrous ammonia (exclude ammonium compounds)
106,Dry Bulk,Fertilizer,Sulphur,Ammonium Sulphate,10,NONE,AMMONIUM\s*SULF?ATE|AM\s*-?\s*SULF?ATE,,Ammonium sulphate/sulfate - US/UK spellings
107,Dry Bulk,Fertilizer,Fertilizers,Ammonium Polyphosphate,10,NONE,AMMONIUM\s*POLYPHOSPHATE|\bAPP\b.*FERTILI,,Liquid/solid ammonium polyphosphate fertilizer
108,Dry Bulk,Fertilizer,Nitrogen Fertilizers,Ammonium Nitrate,10,NONE,AMMONIUM\s*NITRATE,,Ammonium nitrate
109,Liquid Bulk,Chemicals,Chemicals,Amines,10,NONE,METHYLDIETHANOLAMINE|\bMDEA\b|DIETHANOLAMINE,,"Amines (MDEA, diethanolamine for gas treatment)"
110,Break Bulk,Metals,Aluminum,Aluminum,2,NONE,ALUMIN[IU]M\s*INGOTS?|ALUMIN[IU]M\s*BARS?|\bSOWS?\b|T[\s-]*BARS?|UNWROUGHT\s*ALUMIN[IU]M|ALUMIN[IU]M\s*SCRAP|\bALUMINI?UM\b|\bALUMINI?UM\s*INGOTS?\b,,Aluminum products - ingots/bars/scrap
111,Dry Bulk,Non-Ferrous Raw Materials,Alumina,Alumina,10,NONE,\bALUMINA\b,,Processed bauxite
112,Liquid Bulk,Chemicals,Alkylbenzene,Alkylbenzene,10,NONE,\bALKYLBENZENE\b|ALKYL\s*BENZENE|\bCAROMAX\b,,Alkylbenzene - petroleum chemical
113,Dry Bulk,Construction Materials,Aggregates,Aggregates,10,NONE,LIME\s*STONE|\bSTONES?\b|\bGRAVEL\b|CONSTRUCTION\s*SAND|\bAGGREGATES?\b|\bLADOTD\b|\bFDOT\b|\bTXDOT\b|\bCOBBLES?\b|\bsand\b,,Construction aggregates - state DOT specs
114,Liquid Bulk,Chemicals,Chemicals,Acrylonitrile,10,NONE,\bACRYLONITRILE\b,,Acrylonitrile
115,Liquid Bulk,Chemicals,Chemicals,Acetic Acid,10,NONE,ACETIC\s*ACID|\bACETATE\b,,Acetic acid and acetates
116,Break Bulk,General Cargo,General Cargo,General Cargo Catchall,2,NONE,\bBREAK[\s-]*BULK\b|\bBREAKBULK\b|\bPROJECT\b|\bTRUCKS?\b|\bAUTOMOBILES?\b|\bAUTOS?\b|\bCARS?\b|\bVEHICLES?\b|\bMACHINES?\b|\bENGINES?\b|\bTURBINES?\b|\bTRANSFORMERS?\b|\bEXCAVATORS?\b|\bMACHINERY\b|CONVEYOR\s*BELTS?|\bUNIT\b|\bPALLETS?\b|\bBOXES\b|\bCRATES?\b|\bCONTAINERS?\b|ISO[\s-]*TANKS?|\bISOTANKS?\b|\bPARTS\b|\bBELTS?\b|OIL\s*&\s*GAS|OIL\s*AND\s*GAS|\bOILFIELD\b|OIL\s*FIELD|\bCRANES?\b|\bEQUIPMENT\b|\bGENERATORS?\b|\bUSED\b|\bMILITARY\b|\bGARBAGE\b,,General cargo catchall - break-bulk/project/machinery/vehicles/equipment/oilfield/etc
117,Liquid Bulk,Petroleum,Crude Oil,Crude Oil,10,NONE,\bZAPOTECO\b|\bYOHO\b|\bPENNINGTON\b|\bQUA\s*IBOE\b|\bMIZTON\b|\bMOLO\b|\bBARAH\b,,Additional crude oil variants - ZAPOTECO/YOHO/PENNINGTON/QUA IBOE/MIZTON/MOLO/BARAH
118,Liquid Bulk,Petroleum,Crude Oil,Crude Oil,10,NONE,\bBBLS\b|\bGSV\b|\bAPI\b,,Generic petroleum catchall - BBLS/GSV/API indicators (HS2 27 only via HS filter)
119,Liquid Bulk,Petroleum,Refined Products,Fuel Oil,10,NONE,VERY\s*LOW\s*SULPH?UR\s*FUEL\s*OIL,,Very Low Sulphur Fuel Oil explicit match
120,Liquid Bulk,Chemicals,Chemicals,Chemicals,10,NONE,DI[\s-]*ISOBUTYLENE|\bDIB\b,,Di-isobutylene chemical (some records have incorrect HS codes)
121,Liquid Bulk,Chemicals,Chemicals,Chemicals,2,NONE,,,Generic HS2 29 chemicals catchall (will need HS2=29 filter in application)
122,Liquid Bulk,Chemicals,Chemicals,Plastics,2,NONE,,,Generic HS2 39 plastics/polymers catchall (will need HS2=39 filter in application)
123,Break Bulk,Metals,Zinc,Zinc Ingot,2,NONE,ZINC\s*INGOTS?,,Zinc ingot specific
124,Break Bulk,Steel,Finished Steel,Alloy Steel,2,NONE,ALLOY\s*STEEL,,Alloy steel products
125,Break Bulk,Steel,Finished Steel,Stainless Steel,2,NONE,STAINLESS\s*STEEL,,Stainless steel products
126,Break Bulk,Steel,Finished Steel,Steel,2,NONE,\bSTEEL\b,,Generic steel catchall for HS2 72/73
127,Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore Pellets,10,NONE,DIRECT\s*REDUCTION\s*IRON|DRI\s*PELLETS?|IRON\s*ORE\s*PELLETS?,,Direct reduction iron / iron ore pellets
128,Break Bulk,Steel,Finished Steel,Railway Components,2,NONE,\bPISTES\b|\bRAILWAY\s*TRACK,,Railway track components (pistes/rails)
129,Dry Bulk,Minerals & Ores,Minerals,Sand,10,NONE,\bSAND\b,,Sand - generic mineral
130,Dry Bulk,Minerals & Ores,Minerals,Lime,10,NONE,HYDRATED\s*LIME|\bLIME\b,,Hydrated lime and lime products
131,Dry Bulk,Minerals & Ores,Minerals,Minerals,2,NONE,,,Generic HS2 68 stone/ceramic/mineral catchall (will need HS2=68 filter in application)
132,Liquid Bulk,Agricultural,Vegetable Oils,Vegetable Oils,10,NONE,,,Generic HS2 15 vegetable oils catchall (will need HS2=15 filter in application)
133,Break Bulk,General Cargo,General Cargo,General Cargo,0,NONE,,,FINAL CATCHALL - everything else classified as General Cargo for 100% coverage
