Entity_ID,Canonical_Name,Entity_Type,Parent_Company,Match_Keywords,Match_Strategy,Category,Active,Notes,Estimated_Tons,Master_Party_ID,ISO_Country,Latitude,Longitude,Facility_Type
CMT-0135,Cemex De Puerto Rico Incorporatedorporated,Company,Cemex,CEMEX DE PUERTO RICO,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.088,,US,,,Cement
CMT-0028,Cemex International Sa De Cv,Company,Cemex,CEMEX INTERNATIONAL SA DE,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,1.242,,Me,,,Cement
CMT-0172,Cemex Companynstruction Materials Florid,Company,Cemex,CEMEX COMPANYNSTRUCTION MATERIALS FLORID,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.049,,US,,,Cement
CMT-0072,Cemex Espana Operaciones,Company,Cemex,CEMEX ESPANA OPERACIONES,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.317,,Sp,,,Cement
CMT-0007,Cemex Companynstruction Materials,Company,Cemex,CEMEX COMPANYNSTRUCTION MATERIALS,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,3.672,,US,,,Cement
CEMEX-001,Cemex,Cement/Aggregates,Cemex,CEMEX,Contains,All,True,Mexican cement/aggregates giant,3300000,CMT-XX-CEMEX-HQ,XX,,,Headquarters
CMT-0187,Cemex España,Company,Cemex,CEMEX ESPAÑA,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.044,,Sp,,,Cement
CMT-0201,Cemex Mexico S.A. De C.V.,Company,Cemex,CEMEX MEXICO SA DE,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.035,,Me,,,Cement
CMT-0248,Cemex International Sa De Cv Av.,Company,Cemex,CEMEX INTERNATIONAL SA DE,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.011,,Me,,,Cement
CEPSA-001,Cepsa Trading,Oil/Gas,Cepsa,CEPSA TRADING,Contains,All,True,Spanish oil company trading arm,964227,PET-XX-CEPSATRADING-HQ,XX,,,Headquarters
CHEVRON-001,Chevron,Oil & Gas,Chevron Corporation,CHEVRON,Contains,All,True,Multiple business units - combine all Chevron entities,40000000,PET-XX-CHEVRON-HQ,XX,,,Headquarters
CMT-0249,Cleopatra Cement Obo Cyprotrade,Company,Cleopatra,CLEOPATRA CEMENT OBO CYPROTRADE,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.011,,Eg,,,Cement
CMT-0215,Cleopatra Industries For Bldg Mater,Company,Cleopatra,CLEOPATRA INDUSTRIES FOR BLDG,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.029,,Eg,,,Cement
CMT-0096,Cleopatra Industries For Building,Company,Cleopatra,CLEOPATRA INDUSTRIES FOR BUILDING,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.169,,Eg,,,Cement
CMT-0039,Coastal Cement Companyrporationoration,Company,Coastal Cement,COASTAL CEMENT COMPANYRPORATIONORATION,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.788,,US,,,Cement
COMPASS-001,Compass Minerals,Salt/Minerals,Compass Minerals,COMPASS MINERALS,Contains,All,True,Salt and sulfate of potash producer,7000000,MIN-XX-COMPASSMINERALS-HQ,XX,,,Headquarters
CMT-0159,Continental Cement Companymapny,Company,Continental Cement,CONTINENTAL CEMENT COMPANYMAPNY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.055,,US,,,Cement
CMT-0079,Continental Cement Companympany LLC,Company,Continental Cement,CONTINENTAL CEMENT COMPANYMPANY LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.261,,US,,,Cement
CMT-0254,D G Khan Cement Company Limited Nishat House 53 A Lawrence Road Lahore Pakistan,Company,D G KHAN CEMENT COMPANY,D G KHAN CEMENT,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.008,,Pa,,,Cement
CMT-0212,Dg Khan Cement Company Limited Nishat House 53 A Lawrence Road Lahore Pakistan,Company,DG KHAN CEMENT COMPANY,DG KHAN CEMENT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.03,,Pa,,,Cement
CMT-0167,Domicem Sa,Company,DOMICEM SA,DOMICEM SA,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.05,,Do,,,Cement
MONROE-001,Monroe Energy,Oil Refining,Delta Air Lines,MONROE ENERGY,Contains,All,True,Delta subsidiary - Trainer refinery PA,6000000,PET-XX-MONROEENERGY-HQ,XX,,,Headquarters
DOW-001,Dow Chemical,Chemicals,Dow Inc.,DOW CHEMICAL,Contains_All,All,True,Major chemical manufacturer,1118881,CHM-XX-DOWCHEMICAL-HQ,XX,,,Headquarters
DOW-EUROPE-001,Dow Europe,Chemicals,Dow Inc.,DOW EUROPE,Contains_All,Consignee,True,Dow Chemical European operations - imports to US,925952,CHM-XX-DOWEUROPE-HQ,XX,,,Headquarters
DRUMMOND-001,Drummond,Coal Mining,Drummond Company,DRUMMOND,Contains,All,True,Major US coal producer/exporter,2500000,OTH-XX-DRUMMOND-HQ,XX,,,Headquarters
ECOPETROL-001,Ecopetrol,Oil & Gas,Ecopetrol,ECOPETROL,Contains,All,True,Colombian state oil company,22000000,PET-XX-ECOPETROL-HQ,XX,,,Headquarters
EP-PETROECUADOR-001,EP Petroecuador,Oil & Gas,Ecuadorian Government,EP PETROECUADOR;PETROECUADOR,Contains,Shipper,True,Ecuadorian state oil company,2097807,PET-EC-EPPETROECUADOR-HQ,XX,,,Headquarters
CMT-0210,El Arish Cement Company,Company,El Arish Cement,EL ARISH CEMENT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.031,,Eg,,,Cement
CMT-0121,El Arish Cement Company Emtidad Ramsis St No.2 Abassia Cairo Egypt,Company,El Arish Cement,EL ARISH CEMENT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.11,,Eg,,,Cement
CMT-0247,El Arish Cement Company Emitdad Ramsis Street No2 Abassia,Company,El Arish Cement,EL ARISH CEMENT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.012,,Eg,,,Cement
CMT-0148,Ei Arish Cement Company,Company,El Arish Cement,EI ARISH CEMENT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.07,,Eg,,,Cement
DUBAI-001,Dubai Aluminium,Aluminum,Emirates Global Aluminium,DUBAI ALUMINIUM,Contains,All,True,UAE aluminum producer - may be same as EGA,4000000,ALU-XX-DUBAIALUMINIUM-HQ,XX,,,Headquarters
EMIRATES-001,Emirates Aluminium (EGA),Aluminum,Emirates Global Aluminium,EMIRATES ALUMINIUM;EGA;EMIRATES ALUMINIUM EGA,Contains,All,True,UAE aluminum producer,12000000,ALU-XX-EMIRATESALUMINI-HQ,XX,,,Headquarters
SUNOCO-001,Sunoco,Oil/Gas,Energy Transfer,SUNOCO,Contains,All,True,Fuel distributor - Energy Transfer subsidiary,1145178,PET-XX-SUNOCO-HQ,XX,,,Headquarters
ENI-TRADE-001,Eni Trade & Biofuels,Oil/Gas,Eni,ENI TRADE;ENI TRADE BIOFUELS,Contains_All,All,True,Italian oil major trading arm,1085397,PET-XX-ENITRADEBIOFUEL-HQ,XX,,,Headquarters
EQUINOR-001,Equinor,Oil/Gas,Equinor ASA,EQUINOR,Contains,All,True,"Norwegian oil major - combines all Equinor entities (Marketing & Trading, ASA)",4407778,PET-XX-EQUINOR-HQ,XX,,,Headquarters
EUCATEX-001,Eucatex,Pulp/Paper,Eucatex,EUCATEX,Contains,All,True,Brazilian pulp and paper producer,7200000,PPR-XX-EUCATEX-HQ,XX,,,Headquarters
EUROCHEM-001,EuroChem North America,Corporate,EuroChem Group,EUROCHEM NORTH AMERICA,Contains,Consignee,True,Russian fertilizer producer - US operations,1537831,CRP-XX-EUROCHEMNORTHAM-HQ,XX,,,Headquarters
EXXONMOBIL-001,ExxonMobil,Oil & Gas,Exxon Mobil Corporation,EXXONMOBIL;EXXON MOBIL,Contains,All,True,Chemicals and petroleum - many variants,20000000,PET-XX-EXXONMOBIL-HQ,XX,,,Headquarters
CMT-0074,Fortress Cement Incorporatedorporated,Company,Fortress Cement,FORTRESS CEMENT INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.301,,US,,,Cement
CMT-0087,Gcnc Port Operations I LLC,Company,GCNC,GCNC PORT OPERATIONS I,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.224,,US,,,Cement
CMT-0048,Goltas Goller Bolgesi Cimento,Company,GOLTAS,GOLTAS GOLLER BOLGESI CIMENTO,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.622,,Tu,,,Cement
CMT-0114,Goltas Goller Bolgesi Cimento San,Company,GOLTAS,GOLTAS GOLLER BOLGESI CIMENTO,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.129,,Tu,,,Cement
GS-CALTEX-001,GS Caltex,Oil/Gas,GS Group/Chevron JV,GS CALTEX,Contains_All,Shipper,True,South Korean refiner - GS/Chevron JV,2021306,PET-XX-GSCALTEX-HQ,XX,,,Headquarters
CMT-0222,Giant Cement Companympany 654 Judge St.,Company,Giant Cement,GIANT CEMENT COMPANYMPANY 654,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.027,,US,,,Cement
CMT-0067,Giant Cement Companympany,Company,Giant Cement,GIANT CEMENT COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.401,,US,,,Cement
GLENCORE-ENERGY-001,Glencore Energy,Oil/Gas,Glencore,GLENCORE ENERGY,Contains,All,True,Glencore energy trading division,778074,PET-XX-GLENCOREENERGY-HQ,XX,,,Headquarters
CMT-0226,Granit Cement LLC,Company,Granit Cement LLC,GRANIT CEMENT LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.025,,US,,,Cement
CMT-0014,Zona Franca Argos S.A.S.,Company,Grupo Argos,ZONA FRANCA ARGOS SAS,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,2.36,,Co,,,Cement
CMT-0250,Argos Usa LLC 3015 Windward Plaza,Company,Grupo Argos,ARGOS USA LLC 3015,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.01,,US,,,Cement
CMT-0030,Argos Puerto Rico,Company,Grupo Argos,ARGOS PUERTO RICO,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,1.148,,US,,,Cement
CMT-0268,Argos Puerto Rico Companyrporationoration Carretera,Company,Grupo Argos,ARGOS PUERTO RICO COMPANYRPORATIONORATION,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.004,,US,,,Cement
CMT-0060,Argos Cement LLC,Company,Grupo Argos,ARGOS CEMENT LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.459,,US,,,Cement
CMT-0129,Argos Usa Tampa Cement Plant,Company,Grupo Argos,ARGOS USA TAMPA CEMENT,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.092,,US,,,Cement
CMT-0271,Argos Usvi Companyrporationoration,Company,Grupo Argos,ARGOS USVI COMPANYRPORATIONORATION,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.002,,US,,,Cement
ZONA-FRANCA-ARGOS-001,Zona Franca Argos,Cement,Grupo Argos,ZONA FRANCA ARGOS,Contains,Shipper,True,Argos cement free trade zone operations,1211226,CMT-XX-ZONAFRANCAARGOS-HQ,XX,,,Headquarters
CMT-0273,Cementos Argos Companympany Limited,Company,Grupo Argos,CEMENTOS ARGOS COMPANYMPANY LIMITED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.001,,US,,,Cement
ARGOS-001,Argos USA,Cement/Aggregates,Grupo Argos,ARGOS USA;ARGOS CEMENT,Contains,Consignee,True,Colombian cement producer - US operations,2031040,CMT-US-ARGOSUSA-HQ,XX,,,Headquarters
GUNVOR-001,Gunvor Group,Oil/Gas,Gunvor Group,GUNVOR;GUNVOR GROUP,Contains,All,True,Major commodity trader - combines Gunvor Group and Gunvor USA,3470292,PET-XX-GUNVORGROUP-HQ,XX,,,Headquarters
CMT-0034,Hawaiian Cement Cement Division,Company,Hawaiian Cement Cement Division,HAWAIIAN CEMENT CEMENT DIVISION,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.953,,US,,,Cement
CMT-0134,Heidelberg Materials Suez Cement,Company,Heidelberg Materials,HEIDELBERG MATERIALS SUEZ CEMENT,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.088,,Eg,,,Cement
CMT-0040,Hm Northwest Cement Companympany,Company,Heidelberg Materials,HM NORTHWEST CEMENT COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.766,,US,,,Cement
CMT-0057,Lehigh White Cement Companympany LLC,Company,Heidelberg Materials,LEHIGH WHITE CEMENT COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.531,,US,,,Cement
HEIDELBERG-001,Heidelberg Materials,Cement/Aggregates,Heidelberg Materials,HEIDELBERG;HEIDELBERG MATERIALS,Contains,All,True,German cement/aggregates giant,912400,CMT-XX-HEIDELBERGMATER-HQ,XX,,,Headquarters
CMT-0022,Hm Southeast Cement LLC,Company,Heidelberg Materials,HM SOUTHEAST CEMENT LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,1.563,,US,,,Cement
CMT-0070,Heidelberg Materials Us Cement LLC,Company,Heidelberg Materials,HEIDELBERG MATERIALS US CEMENT,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.353,,US,,,Cement
CMT-0151,Lehigh Handson Heidelberg Cement,Company,Heidelberg Materials,LEHIGH HANDSON HEIDELBERG CEMENT,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.065,,US,,,Cement
CMT-0150,Lehigh Southwest Cement Companympany,Company,Heidelberg Materials,LEHIGH SOUTHWEST CEMENT COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.065,,US,,,Cement
CMT-0093,Heidelberg Materials Canada Limited,Company,Heidelberg Materials,HEIDELBERG MATERIALS CANADA LIMITED,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.179,,Ca,,,Cement
CMT-0230,Heidelberg Materials Us,Company,Heidelberg Materials,HEIDELBERG MATERIALS US,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.024,,US,,,Cement
CMT-0099,Lehigh Hanson Heidelberg,Company,Heidelberg Materials,LEHIGH HANSON HEIDELBERG,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.16,,US,,,Cement
CMT-0209,Hiedelberg Materials Us Cement LLC,Company,Heidelberg Materials,HIEDELBERG MATERIALS US CEMENT,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.032,,US,,,Cement
CMT-0089,Lehigh Cement Companympany,Company,Heidelberg Materials,LEHIGH CEMENT COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.214,,US,,,Cement
CMT-0035,Heidelberg Marterials Us Cement LLC,Company,Heidelberg Materials,HEIDELBERG MARTERIALS US CEMENT,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.927,,US,,,Cement
HM-SOUTHEAST-001,Heidelberg Materials Southeast,Cement/Aggregates,Heidelberg Materials,HM SOUTHEAST CEMENT;HEIDELBERG MATERIALS SOUTHEAST,Contains,Consignee,True,Heidelberg Materials southeast US operations,1707718,CMT-XX-HEIDELBERGMATER-HQ,XX,,,Headquarters
CMT-0208,Lehigh Northwest Cement Limited,Company,Heidelberg Materials,LEHIGH NORTHWEST CEMENT LIMITED,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.032,,Ca,,,Cement
CMT-0124,Lehigh Hanson Heidleberg Cement,Company,Heidelberg Materials,LEHIGH HANSON HEIDLEBERG CEMENT,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.104,,Ca,,,Cement
CMT-0261,Heldelbert Materials Canada Limited,Company,Heidelberg Materials,HELDELBERT MATERIALS CANADA LIMITED,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.006,,Ca,,,Cement
CMT-0116,Lehigh Cement Company Llc,Company,Heidelberg Materials,LEHIGH CEMENT COMPANY LLC,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.121,,Ca,,,Cement
CMT-0207,Lehigh Northwest Cement,Company,Heidelberg Materials,LEHIGH NORTHWEST CEMENT,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.032,,US,,,Cement
CMT-0138,Heidelberg Materials Suez Cement Sae K30 Maadi Ein Sokhna Road Cairo Egypt,Company,Heidelberg Materials,HEIDELBERG MATERIALS SUEZ CEMENT,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.084,,Eg,,,Cement
HERITAGE-001,Heritage Petroleum,Oil & Gas,Heritage Petroleum,HERITAGE PETROLEUM,Contains,All,True,Trinidad and Tobago state oil company,2400000,PET-XX-HERITAGEPETROLE-HQ,XX,,,Headquarters
CMT-0123,Buffalo Lafarge Terminal,Company,Holcim,BUFFALO LAFARGE TERMINAL,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.107,,US,,,Cement
CMT-0235,Lafarge Thessalon,Company,Holcim,LAFARGE THESSALON,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.02,,Ca,,,Cement
CMT-0064,Lafarge Bath,Company,Holcim,LAFARGE BATH,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.422,,Ca,,,Cement
