facility_id,canonical_name,zone_name,facility_type,lat,lng,mrtis_mile,usace_mile,usace_name,port,waterway,owners,operators,commodities,city,county,state,epa_frs_links
MRTIS_0020,Violet Dock (idle),Violet Dock 1,General Cargo,29.8908424058098,-89.9004335633069,84.0,83.5,VIOLET DOCK PORT INC BERTHING FACILITY,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Violet Dock Port, Inc. Phone: 504 682-8528 FAX: 504 682-8633",,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Paper & Allied Products | Wheat | Oilseeds (Soy",Violet,St. Bernard,LA,12
MRTIS_0021,AST Meraux Buoys ,Meraux Buoys Lower,Mid-Stream,29.92212041167,-89.9304135727926,86.0,86.0,MERAUX ANCHORAGE,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,"Coal,Lignite & Coal Coke | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Sand, Gravel, Stone, Rock, L",MERAUX,Orleans,LA,20
MRTIS_0022,AST Meraux Buoys ,Meraux Buoys Upper,Mid-Stream,29.9236334117828,-89.9371365746858,87.0,86.5,MERAUX MIDSTREAM BUOY SYSTEM,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,"Coal,Lignite & Coal Coke | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Non-Ferrous Ores and Scrap | Sulphur (Dry), Clay & Salt",MERAUX,Orleans,LA,23
MRTIS_0023,Valero Meraux,Valero Meraux,Refinery,29.9250034117822,-89.9464045772649,87.0,87.0,"VALERO ENERGY CORP., MERAUX TERMINAL","Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Murphy Oil USA, Inc. Phone: 504 278-5300 FAX: 504 278-5201",,"Coal,Lignite & Coal Coke | Petroleum and Petroleum Products | Crude Petroleum | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Petroleum Products NEC | Fer",Meraux,St. Bernard,LA,33
MRTIS_0024,PBF Chalmette,PBF Chalmette,Refinery,29.9280654116329,-89.9716755842676,89.0,88.0,PBF ENERGY INC.CHALMETTE,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,"Coal,Lignite & Coal Coke | Petroleum and Petroleum Products | Crude Petroleum | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Petroleum Products NEC | Che",Chalmette,St. Bernard,LA,36
MRTIS_0025,RAIN Gramercy,Chalmette Terminal,Bulk Plant,29.9313264120314,-89.9813375870337,89.0,89.2,"CII CARBON, CHALMETTE COKE DOCK","Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: CCI Carbon, LLC, a division of Calciner Industries, Inc. Phone: 504 278-1085 X 127 FAX: 504 278-1084",,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Non-Ferrous Ores and Scrap | Slag | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",Chalmette,St. Bernard,LA,43
MRTIS_0026,AST Chalmette Buoys,Chalmette Buoys,Mid-Stream,29.9355454127039,-89.9889815892919,90.0,90.0,CHALMETTE BUOYS MILE 89.5,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, St",CHALMETTE,St. Bernard,LA,41
MRTIS_0027,AST Chalmette Slip,Chalmette Slip,General Cargo,29.9425054139809,-89.9963955916045,90.0,90.0,CHALMETTE SLIP DOCK NO 1 AND NO 2,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,Current Operator: ASSOCIATED TERMINALS  Phone: 504-277-5101,"Coal,Lignite & Coal Coke | Crude Petroleum | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Forest Pro",Chalmette,St. Bernard,LA,36
MRTIS_0028,AST Arabi Dolphins,Arabi Terminal,Mid-Stream,29.9417754135482,-90.0048455938704,91.0,91.0,ARABI MOORING SERVICES,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, St",ARABI,St. Bernard,LA,29
MRTIS_0029,Domino Sugar,Domino Sugar,Bulk Plant,29.9439904141557,-90.0009905929171,91.0,90.9,DOMINO SUGAR CHALMETTE,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Tate and Lyle North American Sugars, Inc. Phone: 504-271-5331 FAX: 504 278-5150",,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Fertilizers | Other Chemicals and Related Products | Non-Ferrous Ores and Scrap | Animal Feed, Grain Mill Products, Flour, Processed Grains | Other Agricultural Product",Arabi,St. Bernard,LA,32
MRTIS_0030,Domino Sugar,Domnio Sugar,Bulk Plant,29.9439904141557,-90.0009905929171,91.0,90.9,DOMINO SUGAR CHALMETTE,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Tate and Lyle North American Sugars, Inc. Phone: 504-271-5331 FAX: 504 278-5150",,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Fertilizers | Other Chemicals and Related Products | Non-Ferrous Ores and Scrap | Animal Feed, Grain Mill Products, Flour, Processed Grains | Other Agricultural Product",Arabi,St. Bernard,LA,32
MRTIS_0031,Alabo St,Alabo St,General Cargo,29.9530674155749,-90.0182305979911,92.0,91.9,ALABO STREET WHARF,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner: Board of Commissioners of the Port of New Orleans.,"Current Operator: Pacorini USA, Inc.; and Belle Chasse Marine Transportation, Inc. Phone: 504 270-0100 FAX: 504 270-0125","Units (Ferried Autos, Passengers, Railway Cars) | Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Sand, Gra",New Orleans,Orleans,LA,12
MRTIS_0032,Julia St,Julia St,General Cargo,29.9422614118222,-90.0613826092551,95.0,95.3,JULIA STREET CRUISE SHIP TERMINAL WHARF,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner and Operator: Board of Commissioners of the Port of New Orleans. Phone: 504-528-3297 FAX: 504-524-4156,,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",New Orleans,Orleans,LA,0
MRTIS_0033,1st Street,1st Street,General Cargo,29.9219494070464,-90.072227611334,97.0,97.3,FIRST STREET WHARF,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner: Board of Commissioners of the Port of New Orleans.,"Current Operator: Empire Stevedoring, Inc. Phone: 504 896-9162 FAX: 504 896-9163","Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil,",New Orleans,Orleans,LA,0
MRTIS_0034,IMTT ,IMTT Gretna,Tank Storage,29.9166754059334,-90.0711156108071,97.0,97.0,INTERNATIONAL-MATEX TANK TERMINALS LTD GRETNA DOCKS,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner: BWC TERMINALS,Current Operator: IMTT GRETNA  Phone: 504-468-3997 : 504-468-3997 FAX: 504-468-8886 : 504-468-8886,"Coal,Lignite & Coal Coke | Petroleum and Petroleum Products | Crude Petroleum | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Petroleum Products NEC | Oth","Harvey, LA",Jefferson,LA,0
MRTIS_0035,7th Street,7th Street,General Cargo,29.9190184061392,-90.0805296134641,98.0,97.8,SEVENTH STREET WHARF,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner: Board of Commissioners of the Port of New Orleans.,"Current Operator: Coastal Cargo Co., Inc., a division of The Jackson Kearney Group. Phone: 504 587-1211 FAX: 504 587-1201","Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Iron Ore and Iron & Ste",New Orleans,Orleans,LA,0
MRTIS_0036,Blackwater Harvey,Blackwater Harvey,Tank Storage,29.9146184053268,-90.0760096120487,98.0,97.9,BLACKWATER HARVEY LLC BARGE & SHIP DOCKS,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner: Estate of Margaret Whiteman.,Current Operator: BLACKWATER HARVEY LLC BARGE & SHIP DOCKS Phone: 504-460-9552,Other Chemicals and Related Products,Gretna,Jefferson,LA,0
MRTIS_0037,Harmony St,Harmony St,General Cargo,29.9177834057793,-90.0833386141743,98.0,98.1,HARMONY STREET WHARF,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner: Board of Commissioners of the Port of New Orleans.,"Current Operator: Coastal Cargo Co., Inc., a division of The Jackson Kearney Group. Phone: 504 587-1211 FAX: 504 587-1201","Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Lim",New Orleans,Orleans,LA,0
MRTIS_0038,KMI Harvey,KMI Harvey 3,Tank Storage,29.911116404192,-90.0875056150218,98.0,98.4,"Delta Terminal Services, Harvey Wharf No. 3.","Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Delta Terminal Services, Inc. Phone: 504/371-3240 FAX: 504/348-1893",,Petroleum and Petroleum Products | Chemicals and Related Products | Unknown or Not Elsewhere Classified,Harvey,Jefferson,LA,0
MRTIS_0039,Louisiana Ave,Louisana Ave,General Cargo,29.9144454047374,-90.0930656166737,98.0,98.0,LOUISIANA AVENUE WHARVES A THRU G,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,"Coal,Lignite & Coal Coke | Crude Petroleum | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips",NEW ORLEANS,Orleans,LA,0
MRTIS_0040,Louisiana Ave,Louisiana Ave,General Cargo,29.9144454047374,-90.0930656166737,98.0,98.0,LOUISIANA AVENUE WHARVES A THRU G,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,"Coal,Lignite & Coal Coke | Crude Petroleum | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips",NEW ORLEANS,Orleans,LA,0
MRTIS_0041,Buckeye Marrero ,Buckeye Marrero 2,Tank Storage,29.9054114023857,-90.1049236195088,99.0,99.5,Buckeye Partners L.P. Marrero Terminal #1,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Williams Energy Partners, LLC. Phone: 504 371-3901 FAX: 504 371-3905",,Petroleum and Petroleum Products | Crude Petroleum,Marrero,Jefferson,LA,0
MRTIS_0042,KMI Harvey,KMI Harvey 1,Tank Storage,29.9080704032803,-90.0951776169756,99.0,99.3,MARLEX TERMINALS HARVEY MOORING PIER,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Diversified Group, Inc. Phone: 504/733-2800 FAX: 504/733-2884",,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",New Orleans,Jefferson,LA,0
MRTIS_0043,KMI Harvey,KMI Harvey 2,Tank Storage,29.9080704032803,-90.0951776169756,99.0,99.3,MARLEX TERMINALS HARVEY MOORING PIER,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Diversified Group, Inc. Phone: 504/733-2800 FAX: 504/733-2884",,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",New Orleans,Jefferson,LA,0
MRTIS_0044,KMI Harvey,KMI Harvey 4,Tank Storage,29.9080704032803,-90.0951776169756,99.0,99.3,MARLEX TERMINALS HARVEY MOORING PIER,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Diversified Group, Inc. Phone: 504/733-2800 FAX: 504/733-2884",,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",New Orleans,Jefferson,LA,0
MRTIS_0045,Magellan Marrero ,Magellan Marrero 1,Tank Storage,29.9135484043621,-90.0986226181446,99.0,99.1,MILAN STREET WHARF,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner: Board of Commissioners of the Port of New Orleans.,Current Operator: Stevedoring Services of America. Phone: 504 269-2323 FAX: 504 269-3402,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Iron Ore and Iro",New Orleans,Orleans,LA,0
MRTIS_0046,Magellan Marrero ,Magellan Marrero 2,Tank Storage,29.9135484043621,-90.0986226181446,99.0,99.1,MILAN STREET WHARF,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner: Board of Commissioners of the Port of New Orleans.,Current Operator: Stevedoring Services of America. Phone: 504 269-2323 FAX: 504 269-3402,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Iron Ore and Iro",New Orleans,Orleans,LA,0
MRTIS_0047,Marlex,Marlex,General Cargo,29.9080704032803,-90.0951776169756,99.0,99.3,MARLEX TERMINALS HARVEY MOORING PIER,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Diversified Group, Inc. Phone: 504/733-2800 FAX: 504/733-2884",,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",New Orleans,Jefferson,LA,0
MRTIS_0048,Napoleon Ave,Napolean Ave,General Cargo,29.9121624038263,-90.105849620048,100.0,99.5,"Board of Commissioners of the Port of New Orleans, Napoleon Avenue Container-Terminal Wharf.","Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner: Board of Commissioners of the Port of New Orleans. Phone: 504-524-3297 FAX: 504-524-4156,,,New Orleans,Orleans,LA,0
MRTIS_0049,Napoleon Ave,Napoleon Ave,General Cargo,29.9121624038263,-90.105849620048,100.0,99.5,"Board of Commissioners of the Port of New Orleans, Napoleon Avenue Container-Terminal Wharf.","Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner: Board of Commissioners of the Port of New Orleans. Phone: 504-524-3297 FAX: 504-524-4156,,,New Orleans,Orleans,LA,0
MRTIS_0050,Nashville Ave,Nashville Ave B C,General Cargo,29.912785403369,-90.1241756250503,100.0,100.0,"NASHVILLE AVENUE WHARVES A, B AND C","Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,"Coal,Lignite & Coal Coke | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Petroleum Products NEC | Fertilizers | Other Chemicals and Related Products | For",NEW ORLEANS,Orleans,LA,0
