Railroad_Name,Reporting_Marks,State,Route_Miles,Class_I_BNSF,Class_I_UP,Class_I_CSX,Class_I_NS,Class_I_CN,Class_I_CPKC,Primary_Commodities,Transload,Unit_Train,Special_Capabilities,Website
Jacksonville Port Terminal Railroad,JXPT,FL,10,N,N,"Jacksonville, FL","Jacksonville, FL",N,N,"Automobiles, Chemicals, Farm products, Intermodal, Pulp and paper",Y,N,Port terminal operations,https://www.watco.com/service/rail/jacksonville-port-terminal-railroad-jxpt/
Kanawha River Railroad,KNWA,"WV, OH",359.12,N,N,N,"Columbus, OH; Charleston, WV",N,N,"Coal, Chemicals, Cement, Aggregates, Metals",N,N,Heavy coal train operations,https://www.watco.com/service/rail/knwa/
Kansas & Oklahoma Railroad,KO,"KS, OK","N/A","Connection","Connection",N,N,N,N,"Grain, Chemicals, LPG",N,Y,Agricultural commodity handling,https://www.watco.com/service/rail/kansas-and-oklahoma-railroad-ko/
Kaw River Railroad,KAW,KS,N/A,"Connection",Connection,N,N,N,N,"Grain, Agricultural products",N,Y,Kansas Kaw River valley operations,https://www.watco.com/service/watco-railroads/
Louisiana Southern Railroad,LAS,LA,157,N,N,N,N,N,"Connection","Forest products, Paper, Agricultural products, Chemicals",N,N,Disconnected route operations,https://www.watco.com/service/watco-railroads/
Mission Mountain Railroad,MMT,MT,26,"Connection",N,N,N,N,N,"Forest products, Grain",N,N,Northwestern Montana operations,https://www.watco.com/service/rail/mission-mountain-railroad-mmt/
Mississippi Southern Railroad,MSR,MS,N/A,N,N,N,"Connection","Connection","Connection","Forest products, Paper, Agricultural products, Chemicals",N,N,Mississippi corridor operations,https://www.watco.com/service/watco-railroads/
Palouse River & Coulee City Railroad,PCC,WA,300,"Connection","Connection",N,N,N,N,"Wheat, Lentils, Barley",N,N,State-owned railroad system,https://www.watco.com/service/rail/palouse-river-coulee-city-railroad-pcc/
Pennsylvania Southwestern Railroad,PSWR,PA,10.5,N,N,Pittsburgh area,"Plant boundaries",N,N,"Steel scrap, Steel products",N,N,Industrial plant railroad operations,https://www.watco.com/service/rail/pennsylvania-southwestern-railroad-pswr/
Savannah & Old Fort Railroad,SVHO,GA,6.5,N,N,"Savannah, GA","Savannah, GA",N,N,"Sulfuric acid, Sulfur, Gypsum, Pulpboard, Wood pellets, Petroleum",N,N,Hazmat handling capabilities,https://www.watco.com/service/rail/savannah-old-fort-svho/
Smoky Ridge Railroad,SMO,TN,13.7,N,N,N,"Blair, TN",N,N,"Nuclear materials, Research materials, Government cargo",N,N,DOE facility access,https://www.watco.com/service/watco-railroads/
South Kansas & Oklahoma Railroad,SKOL,"KS, OK",N/A,"Connection","Connection",N,N,N,N,"Grain, Agricultural products, Oil and gas products",N,Y,Multi-state operations,https://www.watco.com/service/rail/skol/
Stillwater Central Railroad,SLWC,OK,275,"Sapulpa, Tulsa, OKC, Snyder","Midwest City, OK",N,N,N,N,"Fuels, Minerals, Industrial products",N,N,Multiple Class I connections,https://www.watco.com/service/rail/stillwater-central-railroad-slwc/
Timber Rock Railroad,TIBR,"TX, LA",160,"Connection",Connection,N,N,N,Louisiana connections,"Forest products, Paper, Wood products",N,N,Forest products specialization,https://www.watco.com/service/watco-railroads/
Verdigris Southern Railroad,VESO,OK,3,N,"Connection",N,N,N,N,"Raw pulp, Paper products",N,N,Port facility operations,https://www.watco.com/service/rail/verdigris-southern-railroad-veso/
Vicksburg Southern Railroad,VSOR,MS,36.58,N,N,N,N,N,"Vicksburg, MS","Energy products, Paper products, Coal",N,N,Former IC mainline operations,https://www.watco.com/service/rail/vicksburg-southern-railroad-vsor/
Wisconsin & Southern Railroad,WSOR,"WI, IL",837,"Connection","Connection","Chicago via Metra","Chicago via Metra","Connection","Connection","Agricultural products, Manufactured goods, Food products",N,Y,All 6 Class I connections,https://www.watco.com/service/rail/wsor/
Yellowstone Valley Railroad,YSVR,"MT, ND",170,"Multiple (owns line)",N,N,N,N,N,"Natural gas, Crude oil, Frac sand",N,N,Energy industry specialization,https://www.watco.com/service/watco-railroads/
