bill of lading number,bill of lading type,arrival date,consignee (original format),shipper (original format),shipper (roll),consignee (roll),carrier,notify party,shipment origin,shipment destination,shipment destination region,shipment destination region roll,port of unlading roll up,port of unlading region,port of lading,port of lading country,place of receipt,vessel,vessel voyage id,vessel imo,quantity,measurement, weight (t) ,weight (original format),value of goods (usd),industry - gics,hs code,goods shipped,group,category,cargo,cargo detail,shipper unified,consignee unified,notify unified,report 1,report 2,report 3,report 4,report 5,report 6,filter,count
SFFVSDLLJA502004,Simple,3/16/2025,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,STADIONGRACHT,2502,9202508,2119 PKG, ,2542.8,2542800 K,1246000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 17-07-14 IN 2750 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
TOBOPLEB022502B,Simple,3/7/2025,"YARA NORTH AMERICA INC
100 N.TAMPA STREET, SUITE 3200
P.O. BOX 24926
TAMPA, FL 33602","YARA NORGE AS
HEROYA INDUSTRI PARK
N-3905 PORSGRUNN, NORWAY",YARA ,YARA,TOBO - Tma Bulk & Logistics Inc. C/O Tma Bulk Gmbh & Co.Kg,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port Canaveral, Port Canaveral, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"All Other Norway Ports, Norway",Norway,HEROYA,POLSTEAM LEBSKO,005L,9971874,250 BAG, ,300600,300600 ET,863624000,15101010,Classified: 3904.10,CALCINIT IN 1200KG BIG BAG,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
TOBOPLEB022502A,Simple,3/7/2025,"YARA NORTH AMERICA INC
100 N.TAMPA STREET, SUITE 3200
P.O. BOX 24926
TAMPA, FL 33602","YARA NORGE AS
HEROYA INDUSTRI PARK
N-3905 PORSGRUNN, NORWAY",YARA ,YARA,TOBO - Tma Bulk & Logistics Inc. C/O Tma Bulk Gmbh & Co.Kg,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port Canaveral, Port Canaveral, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"All Other Norway Ports, Norway",Norway,HEROYA,POLSTEAM LEBSKO,005L,9971874,1 BLK, ,4823,4823 ET,3627000,15101030,Classified: 3105.20,CALCIUM NITRATE STG IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
TOBOPLEB022501B,Simple,3/2/2025,"YARA NORTH AMERICA INC
100 N.TAMPA STREET, SUITE 3200
P.O. BOX 24926
TAMPA, FL 33602","YARA NORGE AS
HEROYA INDUSTRI PARK
N-3905 PORSGRUNN, NORWAY",YARA ,YARA,TOBO - Tma Bulk & Logistics Inc. C/O Tma Bulk Gmbh & Co.Kg,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,HEROYA,POLSTEAM LEBSKO,005L,9971874,667 BAG, ,80200.1,802001 ET,86777000,15101010,Classified: 3901.20,CALCINIT IN 1200KG BAGS,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
TOBOPLEB022501D,Simple,3/2/2025,"YARA NORTH AMERICA INC
100 N.TAMPA STREET, SUITE 3200
P.O. BOX 24926
TAMPA, FL 33602","YARA NORGE AS
HEROYA INDUSTRI PARK
N-3905 PORSGRUNN, NORWAY",YARA ,YARA,TOBO - Tma Bulk & Logistics Inc. C/O Tma Bulk Gmbh & Co.Kg,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,HEROYA,POLSTEAM LEBSKO,005L,9971874,1 BLK, ,5003,5003 ET,3762000,15101030,Classified: 3105.20,AMMONIUM NITRATE BASED FERTILIZER (NON-HARADO US) COMPLEX FERTILIZER IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
TOBOPLEB022501A,Simple,3/2/2025,"YARA NORTH AMERICA INC
100 N.TAMPA STREET, SUITE 3200
P.O. BOX 24926
TAMPA, FL 33602","YARA NORGE AS
HEROYA INDUSTRI PARK
N-3905 PORSGRUNN, NORWAY",YARA ,YARA,TOBO - Tma Bulk & Logistics Inc. C/O Tma Bulk Gmbh & Co.Kg,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,HEROYA,POLSTEAM LEBSKO,005L,9971874,1 BLK, ,2700,2700 ET,2030000,15101030,Classified: 3105.20,CALCIUM NITRATE STG IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
TOBOPLEB022501C,Simple,3/2/2025,"YARA NORTH AMERICA INC
100 N.TAMPA STREET, SUITE 3200
P.O. BOX 24926
TAMPA, FL 33602","YARA NORGE AS
HEROYA INDUSTRI PARK
N-3905 PORSGRUNN, NORWAY",YARA ,YARA,TOBO - Tma Bulk & Logistics Inc. C/O Tma Bulk Gmbh & Co.Kg,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,HEROYA,POLSTEAM LEBSKO,005L,9971874,1 BLK, ,2305,2305 ET,1733000,15101030,Classified: 3105.20,AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARD OUS) COMPLEX FERTILIZER IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
SFFVSMDDJA501001,Simple,2/21/2025,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,SAMPOGRACHT,2501,9288071,2656 PKG, ,3187.2,3187200 K,2027000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 21-07-14G IN 2750 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWISF21802A,Simple,2/9/2025,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET SUITE 3200  P.O.BOX 249
26 TAMPA  FLORIDA 33602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-3905
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,STAR ISFJORD,2408,9182978,1 UNT, ,5349,5349000 K,2760000,15101030,Classified: 3105.20,NPK Description: 1 AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER 21-7-14S IN BULK CLEAN ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWISF21801A,Simple,2/9/2025,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET SUITE 3200  P.O.BOX 249
26 TAMPA  FLORIDA 33602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-3905
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,STAR ISFJORD,2408,9182978,1 UNT, ,2501,2501000 K,1291000,15101030,Classified: 3105.20,NPK Description: 1 AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER 15-15-15S IN BULK CLEAN ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWISF21800A,Simple,2/9/2025,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET SUITE 3200  P.O.BOX 249
26 TAMPA  FLORIDA 33602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-3905
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,STAR ISFJORD,2408,9182978,1 UNT, ,2501,2501000 K,1291000,15101030,Classified: 3105.20,FERTILIZER Description: 1 CALCIUM NITRATE STG IN BULK CLEAN ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
SFFVSIEFJA501001,Simple,1/11/2025,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,SINGELGRACHT,2501,9197375,2675 PKG, ,3210,3210000 K,1576000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 17-07-14 IN 2675 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
SFFVSIEFJA501002,Simple,1/11/2025,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,SINGELGRACHT,2501,9197375,397 PKG, ,476.4,476400 K,234000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 17-09-13 IN 417 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWROS19576A,Simple,11/30/2024,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET SUITE 3200  P.OBOX 2492
6 TAMPA  FLORIDA 33602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-3905
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,ROSALIA,2401,9696826,1 UNT, ,5500,5500000 K,2415000,15101030,Classified: 3105.20,NPK Description: 1 AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER 21-7-14S IN BULK CLEAN ONBOARD WHICH ARE TO BE DELIVERED IN THE LIKE GOOD OR Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWROS19577A,Simple,11/30/2024,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET SUITE 3200  P.OBOX 2492
6 TAMPA  FLORIDA 33602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-3905
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,ROSALIA,2401,9696826,1 UNT, ,4200,4200000 K,1844000,15101030,Classified: 3105.20,NPK Description: 1 AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER 15-15-15S IN BULK CLEAN ONBOARD WHICH ARE TO BE DELIVERED IN THE LIKE GOOD OR Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWROS19575A,Simple,11/30/2024,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET  SUITE 3200 TAMPA  FL 336
02 USA ATTN  LEIGH RAYNER LEIGH.RAY
NER@YARA.COM   CELL  (813","YARA NORGE AS
YARA NORGE AS YARA GLOMFJORD A RNES
VEIEN 3 GLOMFJORD NORWAY  47 75 71
91 00",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,ROSALIA,2401,9696826,1664 BAG, ,2000.79,2000794 K,238000,15101030,Parsed: 3102.60,CALCIUM NITRATE IN BIG BAGS Description: 1664 BAGS CALCIUM NITRATE SOLUTION QUALITY IN 1 200 KG BAGS PRODUCT CODE PA34IP1200 LOADED BREAKBULK SHIPPED ON BOARD Marks: SEKKER HS 310260,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
SFFVSCUUSA410001,Simple,11/16/2024,"Yara North America Inc.
100 North Tampa Street Suite 3200
P.O. Box 24926
Tampa FL US 33602","Yara Suomi Oy
Uusikaupunki Plant P.O. BOX 5
Uusikaupunki  FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"Nystad, Finland",Finland,FIUKI,SCHELDEGRACHT,2410,9202510,1 BLK, ,2938,2938 E,1478000,15101030,Classified: 3105.20,AMMONIUM NITRATE.,Bulk,Fertilizer,Nitrogen Fertilizers,Ammonium Nitrate,",",",",",",,,,,,,,1
ULTH242027000005,Simple,10/17/2024,"YARA NORTH AMERICA INC
100 N TAMPA STREET  SUITE 3200
P.O. BOX 24926
TAMPAFL 33602
TE913-734-5624 CEL","YARA SLUISKIL BV
INDUSTRIEWEG 10
HAVEN 2111
SLUISKIL 4541
TENL",YARA ,YARA,ULTH - Ultrabulk,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Netherlands,"Port of New Orleans, New Orleans, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"Sluiskil, Netherlands",Netherlands,"SLUISKIL, THE NET",GREAT PROFIT,355WM,9792888,1 BLK, CM,11000,11000000 K,9042000,15101030,Classified: 3105.20,"11, 000. 000 MT FERTILIZERS WITHOUT NITRATE AMIDAS",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
