name,company,facility_types,city,state,lat,lon,capacity_kt,capacity_notes,products,markets,feedstock,port_adjacent,water_access,barge_access,rail_served,status,startup_year,employees,notes
ASARCO Mission SX/EW,ASARCO LLC (Grupo Mexico),sxew_refinery,Sahuarita,AZ,31.9276,-111.0098,30,,"copper cathode (SX/EW), copper concentrate",,pregnant leach solution,False,False,False,True,operating,,,Open-pit porphyry copper mine south of Tucson. Concentrator + SX/EW.
ASARCO Silver Bell SX/EW,ASARCO LLC (Grupo Mexico),sxew_refinery,Marana,AZ,32.3756,-111.4741,15,,copper cathode (SX/EW),,pregnant leach solution,False,False,False,True,operating,,,Oxide copper leaching operation NW of Tucson.
Capstone Pinto Valley SX/EW,Capstone Copper Corp.,sxew_refinery,Miami,AZ,33.425,-110.975,10,,"copper cathode (SX/EW), copper concentrate",,pregnant leach solution + concentrator,False,False,False,True,operating,,,Open-pit copper mine. Concentrator + small SX/EW. Formerly BHP.
Excelsior Mining Gunnison SX/EW,Excelsior Mining Corp.,sxew_refinery,Willcox,AZ,32.284,-109.8225,6,Phase 1: 6kt; permitted for 125M lbs/yr,copper cathode (SX/EW),,in-situ leach solution,False,False,False,True,reduced,,,In-situ copper recovery (ISR). Innovative acid injection into oxide copper zone. Ramp-up delayed. Permitted capacity 125M lbs/yr.
Highland Copper Copperwood,Highland Copper Company,sxew_refinery,White Pine,MI,46.755,-89.57,3,,"copper concentrate, cathode",,native copper ore,False,False,False,True,construction,,,Michigan's Upper Peninsula copper district. Underground mine + flotation. Permitting stage.
Aurubis Richmond (Augusta),Aurubis AG,secondary_smelter,Augusta,GA,33.4735,-82.0105,180,180kt/yr complex recycling materials → 70kt blister copper,"blister copper (shipped to Europe for refining), precious metals","electronics recycling, battery recycling, e-waste","PCBs, copper cables, e-scrap, complex recycling materials",True,False,False,True,operating,2024,230,"First large secondary smelter for multimetal recycling in US. $800M total investment. Ribbon-cutting Sep 2024. 2 recycling modules. Processes circuit boards, cables, e-scrap. Blister copper refined at Aurubis European sites. Module 2 online 2026."
Southwire Secondary Smelter,Southwire Company LLC,secondary_smelter|secondary_refinery,Carrollton,GA,33.5749,-85.0766,50,Fire refining of high-grade scrap to supplement cathode purchases,fire-refined copper (for own rod mill),,high-grade copper scrap (#1 bare bright),False,False,False,True,operating,,,Integrated with Southwire's rod mill. Produces fire-refined copper from scrap to supplement purchased cathode.
ASARCO Hayden Smelter,ASARCO LLC (Grupo Mexico),primary_smelter,Hayden,AZ,33.0061,-110.7849,360,Flash smelter ~360kt anode; idled since Oct 2019,copper anode (was shipped to Amarillo refinery),,concentrate (ASARCO AZ mines),False,False,False,True,idled,1912,,Flash smelting furnace. Idled October 2019 alongside Amarillo refinery. Grupo Mexico ownership. No announced restart. Was the second primary smelter in US before shutdown.
Southwire Carrollton Copper Rod Mill,Southwire Company LLC,wire_rod_mill|wire_cable_mfg,Carrollton,GA,33.5804,-85.0766,380,380kt+/yr rod; world's largest SCR copper rod mill; new SCR-9000S online ~2023,"ETP copper rod (8, 12.7, 15.6, 19mm dia), wire & cable","building wire, utility, industrial, data centers, military",copper cathode (LME Grade A) + up to 20% high-grade scrap,False,False,False,True,operating,1981,9400,"LARGEST CATHODE CONSUMER IN US. Southwire is #1 US wire & cable producer. SCR-9000S (Primetals) replaced 40yr old system. 54 tph capacity. Cathode sourced domestically (Freeport, Kennecott) + imports (Chile, Peru). 60+ manufacturing facilities total. HQ and primary rod mill in Carrollton. 50% of world's copper rod passes through SCR systems."
Encore Wire / Prysmian McKinney Rod Mill,Prysmian Group (Encore Wire),wire_rod_mill|wire_cable_mfg,McKinney,TX,33.2148,-96.6698,200,Integrated rod mill on 460-acre campus; largest buyer of copper scrap in US (as single site),"copper rod, NM-B cable, THHN, armored cable, UF-B, MV cable","residential, commercial, industrial building wire","copper cathode (mostly from AZ), copper scrap",False,False,False,True,operating,1989,1600,Acquired by Prysmian Jul 2024 for $290/share. 3.5M sq ft campus. $500M Prysmian expansion over 4yr including new 650k sq ft medium voltage cable plant. Vertically integrated: rod mill + wire drawing + cable making + distribution. Cathode primarily sourced domestically from Arizona.
AmRod Port Newark Rod Mill,AmRod Corporation,wire_rod_mill,Newark,NJ,40.6843,-74.1442,120,Major independent rod producer,ETP copper rod (all gauges),"wire drawing, communications, magnet wire, building wire",copper cathode (imported via Port Newark),True,True,False,True,operating,,,"Leading independent copper rod producer. Port Newark location ideal for imported cathode. Rail, truck, and sea access. Hedging and risk management services. Datamyne top HS 7403 importer."
SDI LaFarga Copperworks,SDI LaFarga (Steel Dynamics / LaFarga Group JV),wire_rod_mill|secondary_refinery,New Haven,IN,41.0709,-85.0139,213,Shaft furnace 213kt/yr (470M lbs); refining furnace 113kt/yr (250M lbs) in conjunction,"FRHC copper rod (Advantage™), ETP copper rod (Elemental™), wire, can welding wire","building wire, magnet wire, telecom, automotive, aerospace, data",100% reclaimed copper scrap (FRHC line); cathode + bare bright (ETP line since 2020),False,False,False,True,operating,2010,,JV of Steel Dynamics + LaFarga Group (Spain). Primarily scrap-based but added cathode-fed ETP rod (Elemental™) in Sep 2020 with new shaft furnace. Proprietary Q-Select sorting for scrap. 1B+ lbs copper scrap diverted from landfill since inception.
Cerro Wire Hartselle Rod Mill,Cerro Wire LLC (Marmon/Berkshire Hathaway),wire_rod_mill|wire_cable_mfg,Hartselle,AL,34.4437,-86.9353,80,,"copper rod, building wire, THHN, NM-B, UF-B","residential, commercial building wire","copper cathode, scrap",False,False,False,True,operating,,,Marmon Group (Berkshire Hathaway). Integrated rod mill + wire & cable manufacturing.
Rea Magnet Wire Fort Wayne Rod Mill,Rea Magnet Wire (Essex Furukawa),wire_rod_mill,Fort Wayne,IN,41.0793,-85.1394,60,,"copper rod, magnet wire","motors, transformers, magnetics, EV",copper cathode,False,False,False,True,operating,,,Magnet wire producer. Essex Furukawa is world's largest MW producer. Rod mill feeds downstream magnet wire drawing.
Southwire Heflin Wire & Cable,Southwire Company LLC,wire_cable_mfg,Heflin,AL,33.649,-85.5878,,,wire and cable,"building wire, utility",copper rod (from Carrollton),False,False,False,True,operating,,,Major wire & cable manufacturing expansion announced. Rod supplied from Carrollton rod mill.
Wieland Rolled Products East Alton (fka Olin Brass),Wieland Group (Germany),brass_mill,East Alton,IL,38.8861,-90.1001,200,1M+ lbs finished product per working day; 60 copper alloys,"copper alloy strip, sheet, foil, welded tube","munitions, automotive, coinage, electronics, construction","copper cathode, copper scrap, zinc, tin, other alloying metals",False,True,False,True,operating,1916,,"LARGEST BRASS MILL IN NORTH AMERICA. Formerly Olin Brass, acquired by Wieland Group (Germany) Jul 2019. Founded by Franklin Olin (Western Cartridge). Integrated casting (horizontal DC + vertical DC), hot/cold rolling, annealing, finishing. Produces 60 distinct copper alloys. Downstream ops: Wieland Metal Services (E. Longmeadow MA), Wieland Fabricated Products (stamping), Fineweld Tube Products."
Wieland Metal Services (Diversified Metals),Wieland Group,brass_mill,East Longmeadow,MA,42.0615,-72.5051,30,,"slit strip, specialty processed copper alloy","electronics, munitions, automotive",strip from East Alton,False,False,False,True,operating,,,Acquired by Wieland Nov 2018 (formerly Diversified Metals Inc.). Service center / re-roller. Value-added processing of East Alton mill products.
Aurubis Buffalo,Aurubis AG,brass_mill,Buffalo,NY,42.8864,-78.8784,100,"Rod, cake, specialty shapes","copper rod, cake, billet, custom continuous cast shapes","electrical, industrial, building products","copper cathode, copper scrap",False,True,True,True,operating,,,"Aurubis North America operations (formerly Luvata). Continuous casting of copper rod, cake, and specialty shapes. Great Lakes water access."
Mueller Brass Port Huron,Mueller Industries Inc.,brass_mill,Port Huron,MI,42.9709,-82.4246,60,,"copper alloy rod, bar, forgings, extrusions","plumbing fittings, OEM, industrial","copper cathode, brass scrap, zinc",False,True,False,True,operating,1917,,Original Mueller Metals Company (1917). Brass rod and bar production. Rod mill modernized 1971. Now serves OEM/industrial segment.
Mueller Covington Fittings,Mueller Industries Inc.,brass_mill,Covington,TN,35.5641,-89.6465,40,,"copper fittings, wrot copper elbows, tees, adapters","plumbing, construction",copper alloy rod/bar,False,False,False,True,operating,,,"Major copper fittings plant. 1,500+ SKUs. Serves plumbing wholesale and building materials retail."
Cerro Copper Products (Marmon/BH),Cerro Flow Products LLC (Marmon/Berkshire Hathaway),brass_mill|tube_mill,Sauget,IL,38.5879,-90.1818,50,,"copper tube, copper alloy strip","plumbing, HVAC, industrial","copper cathode, fire-refined copper, scrap",False,True,False,True,operating,,,Cerro Copper Products / Cerro Flow Products. Scrap-based fire refinery producing feed for tube mill. Part of Marmon Group (Berkshire Hathaway). Mississippi River adjacent.
Chase Brass & Copper (Wieland Chase),Wieland Group,brass_mill,Montpelier,OH,41.5842,-84.6052,80,,"brass rod, bar, shapes (free-machining and specialty)","automotive, plumbing, ammunition, industrial","copper cathode, brass scrap, zinc",False,False,False,True,operating,,,Leading North American producer of brass rod. Wieland Group acquired Chase 2018. Continuous casting + extrusion + cold drawing. Significant automotive and ammunition markets.
Luvata (Mitsubishi Materials) Appleton,Mitsubishi Materials (Luvata),brass_mill,Appleton,WI,44.2619,-88.4154,25,,"copper bus bar, profiles, strip","electrical, bus bar, switchgear","copper cathode, OFC copper",False,False,False,True,operating,,,"Specialty copper products. Formerly Luvata, now Mitsubishi Materials. High-purity oxygen-free copper (OFC) products."
PMX Industries Cedar Rapids,PMX Industries Inc. (Poongsan),brass_mill,Cedar Rapids,IA,41.9779,-91.6656,50,,"copper and copper alloy strip, sheet, plate","ammunition, electronics, automotive, coinage","copper cathode, copper scrap, zinc",False,False,False,True,operating,,,Korean-owned (Poongsan Corp). Integrated brass mill producing strip/sheet. Major US Mint supplier. Ammunition cartridge brass.
Mueller Tube Fulton,Mueller Industries Inc.,tube_mill,Fulton,MS,34.274,-88.419,100,Largest Mueller tube facility in NA,"water tube (straight lengths, coils), ACR tube, line sets","plumbing, construction, HVAC/R","copper cathode, copper billet (cast on-site)",False,False,False,True,operating,1971,530,"Mueller's largest NA copper tube facility. 6,300-ton extrusion press. Billet casting facility completed 1999. Multiple modernization phases. 'One of the most efficient tube mills in the United States.'"
Mueller Tube Wynne,Mueller Industries Inc.,tube_mill,Wynne,AR,35.2245,-90.7868,60,,"water tube, ACR tube","plumbing, HVAC/R","copper cathode, scrap",False,False,False,True,operating,,,Acquired via Halstead Industries 1998. $24M modernization 2000. Tube for plumbing and air conditioning.
Mueller Tube Clinton,Mueller Industries Inc.,tube_mill,Clinton,TN,36.1034,-84.1322,40,,"water tube, ACR tube","plumbing, HVAC/R","copper cathode, scrap",False,False,False,True,operating,,,Acquired via Halstead Industries 1998. Plumbing and ACR tube production.
Cerro Flow Products Pine Hall,Cerro Flow Products LLC (Marmon/BH),tube_mill,Pine Hall,NC,36.3462,-80.0461,30,,"copper tube, industrial tube","plumbing, industrial","copper cathode, fire-refined",False,False,False,True,operating,,,Cerro/Marmon tube manufacturing. Part of Berkshire Hathaway industrial group.
Engelhart CTP US (ECTP),Engelhart Commodities Trading Partners,trading,Stamford,CT,41.0534,-73.5387,,,copper cathode (trading/warehousing),"distribution to rod mills, brass mills",imported cathode,True,False,False,True,operating,,,Major Panjiva consignee for HS 7403. Commodity trading house. Warehouses cathode for distribution to end-consumers.
GT Commodities,GT Commodities LLC,trading,Stamford,CT,41.0534,-73.54,,,copper cathode (trading),distribution,imported cathode,False,False,False,True,operating,,,Panjiva top HS 7403 importer. Physical commodity trading.
Geo. Wm. Rueff Inc.,Geo. Wm. Rueff Inc.,trading,New Orleans,LA,29.9511,-90.0715,,,"copper cathode, copper concentrates (trading/brokerage)","smelters, rod mills","imported cathode, concentrates",True,True,False,True,operating,,,Panjiva top HS 7403 importer. New Orleans-based metals broker/trader. Handles imported cathode through Port of New Orleans.
